,postcode,house_price,area,size,purchase_price,lat,lon
0,1011 AJ Netherlands,807000.0,130.0,115.0,490480.6530612245,52.3745416,4.9045706
1,1011 AN Netherlands,900000.0,155.0,170.0,390200.5950413223,52.3743188,4.905028199999999
2,1011 AV Netherlands,695000.0,155.0,,750045.4545454546,52.3731482,4.906685599999999
3,1011 BG Netherlands,1425000.0,267.0,109.0,655789.6,52.3740087,4.9039155
4,1011 BH Netherlands,419000.0,75.0,223.33333333333334,949899.2142857143,52.3735793,4.904419499999999
5,1011 BS Netherlands,899000.0,123.0,91.75,764810.0,52.375083,4.9028759
6,1011 BZ Netherlands,325000.0,44.0,57.333333333333336,188151.34615384616,52.3730998,4.9036464
7,1011 CL Netherlands,550000.0,80.0,19.75,316050.25,52.373608,4.9026276
8,1011 CV Netherlands,1185000.0,213.0,63.30434782608695,473679.3846153846,52.37243350000001,4.903345300000001
9,1011 DG Netherlands,435000.0,83.0,,465543.4314720812,52.3764615,4.9059301
10,1011 EJ Netherlands,595000.0,96.0,23.0,3777953.557894737,52.3753776,4.9023881
11,1011 GZ Netherlands,385000.0,50.0,,302308.6956521739,52.37030379999999,4.9012541
12,1011 HL Netherlands,445000.0,68.0,,221423.16666666666,52.3700182,4.8995539
13,1011 HV Netherlands,1000000.0,141.0,176.9090909090909,1163136.8846153845,52.369331,4.8985337
14,1011 HZ Netherlands,612500.0,98.0,40.0,553976.6666666666,52.3688207,4.8990385
15,1011 JH Netherlands,950000.0,122.0,75.6,347187.25925925927,52.368407,4.8989697
16,1011 JP Netherlands,800000.0,113.0,116.33333333333333,356463.4705882353,52.3726666,4.901008
17,1011 KA Netherlands,935000.0,117.0,706.0,5426721.357798165,52.3745416,4.9045706
18,1011 KD Netherlands,895000.0,144.0,85.0,1598000.0,52.37646059999999,4.9079127
19,1011 KH Netherlands,3250000.0,293.0,70.15384615384616,333831.94444444444,52.36994259999999,4.898644399999999
20,1011 KW Netherlands,750000.0,110.0,137.0,325331.3846153846,52.3703572,4.9033092
21,1011 LM Netherlands,325000.0,50.0,703.0,1012506.2825112108,52.3707542,4.9059039
22,1011 MH Netherlands,499000.0,95.0,,366884.6462585034,52.369474,4.9071219
23,1011 MK Netherlands,440000.0,77.0,,256002.0,52.3693354,4.908415499999999
24,1011 NA Netherlands,275000.0,49.0,,7241646.4,52.3698157,4.9071769
25,1011 NS Netherlands,750000.0,126.0,,467737.9310344828,52.3688101,4.9030178
26,1011 PG Netherlands,325000.0,68.0,83.05555555555556,365051.2110091743,52.3674944,4.9021512
27,1011 RL Netherlands,750000.0,91.5,,383316.82352941175,52.3663117,4.903045
28,1011 SC Netherlands,350000.0,53.0,,270156.0,52.3687347,4.9087744
29,1011 TB Netherlands,885000.0,160.0,,497280.40566037735,52.3719544,4.9092977
30,1011 TJ Netherlands,700000.0,139.0,81.71428571428571,394985.4418604651,52.3719054,4.9082997
31,1011 TL Netherlands,370000.0,51.0,57.0,285831.0,52.3719498,4.908167
32,1011 TR Netherlands,298000.0,51.0,111.0,456930.48484848486,52.3709231,4.9121134
33,1011 TX Netherlands,390000.0,56.5,,307150.1111111111,52.3718032,4.9074784
34,1011 TZ Netherlands,460000.0,61.0,110.46666666666667,254731.50746268657,52.3712057,4.9086303
35,1011 VK Netherlands,350000.0,37.0,,4526850.757281553,52.3693819,4.9087968
36,1011 VM Netherlands,895000.0,151.0,440.0,1355052.5737704919,52.368374,4.906267499999999
37,1011 VP Netherlands,300000.0,40.0,275.04347826086956,580900.58,52.3706036,4.9086514
38,1012 AE Netherlands,474000.0,61.0,33.32,795960.3663716814,52.37672250000001,4.9016097
39,1012 AL Netherlands,665000.0,110.0,278.0,780686.0412371134,52.3760391,4.901529
40,1012 BH Netherlands,1750000.0,190.0,107.13793103448276,1076312.5148514851,52.3759958,4.9019113
41,1012 BJ Netherlands,249000.0,32.0,287.1792452830189,4632490.5,52.3751307,4.901362799999999
42,1012 DA Netherlands,1750000.0,270.0,56.10909090909091,927163.5915492958,52.3733862,4.8940639
43,1012 DE Netherlands,275000.0,38.0,51.04761904761905,2941187.619047619,52.3733862,4.8940639
44,1012 EH Netherlands,399000.0,50.0,61.714285714285715,2774572.282352941,52.3749365,4.9000432
45,1012 GH Netherlands,398750.0,62.5,1093.66,335912.037037037,52.3730808,4.896833
46,1012 GM Netherlands,625000.0,113.0,77.77777777777777,422278.5263157895,52.3696002,4.894111
47,1012 GR Netherlands,424500.0,95.0,65.35714285714286,440394.4895104895,52.3753007,4.8989819
48,1012 HL Netherlands,300000.0,52.0,55.36363636363637,397894.91503267974,52.3716424,4.8945729
49,1012 JD Netherlands,375000.0,48.0,157.5,879868.7826086957,52.3760297,4.8992235
50,1012 JS Netherlands,1310000.0,129.0,483.67857142857144,25729134.333333332,52.3726381,4.894106600000001
51,1012 JV Netherlands,1085000.0,162.0,144.71428571428572,875872.48,52.37475180000001,4.896653
