place,amount,year,indicator
A  Centrum,20870,2013,vestigingen met wp
B  Westpoort,1186,2013,vestigingen met wp
E  West,16717,2013,vestigingen met wp
F  Nieuw-West,10368,2013,vestigingen met wp
K  Zuid,20339,2013,vestigingen met wp
M  Oost,13906,2013,vestigingen met wp
N  Noord,6987,2013,vestigingen met wp
T  Zuidoost,5458,2013,vestigingen met wp
Amsterdam,95831,2013,vestigingen met wp
A  Centrum,95033,2013,werkzame pers.
B  Westpoort,20256,2013,werkzame pers.
E  West,47374,2013,werkzame pers.
F  Nieuw-West,71978,2013,werkzame pers.
K  Zuid,96009,2013,werkzame pers.
M  Oost,59211,2013,werkzame pers.
N  Noord,30220,2013,werkzame pers.
T  Zuidoost,62557,2013,werkzame pers.
Amsterdam,482638,2013,werkzame pers.
A  Centrum,95033,2014,vestigingen met wp
B  Westpoort,20256,2014,vestigingen met wp
E  West,47374,2014,vestigingen met wp
F  Nieuw-West,71978,2014,vestigingen met wp
K  Zuid,96009,2014,vestigingen met wp
M  Oost,59211,2014,vestigingen met wp
N  Noord,30220,2014,vestigingen met wp
T  Zuidoost,62557,2014,vestigingen met wp
Amsterdam,482638,2014,vestigingen met wp
A  Centrum,95294,2014,werkzame pers.
B  Westpoort,20603,2014,werkzame pers.
E  West,47899,2014,werkzame pers.
F  Nieuw-West,70505,2014,werkzame pers.
K  Zuid,95147,2014,werkzame pers.
M  Oost,58549,2014,werkzame pers.
N  Noord,29235,2014,werkzame pers.
T  Zuidoost,67368,2014,werkzame pers.
Amsterdam,484600,2014,werkzame pers.
A  Centrum,22229,2015,vestigingen met wp
B  Westpoort,1240,2015,vestigingen met wp
E  West,18738,2015,vestigingen met wp
F  Nieuw-West,11553,2015,vestigingen met wp
K  Zuid,21819,2015,vestigingen met wp
M  Oost,15524,2015,vestigingen met wp
N  Noord,8013,2015,vestigingen met wp
T  Zuidoost,5918,2015,vestigingen met wp
Amsterdam,105034,2015,vestigingen met wp
A  Centrum,95955,2015,werkzame pers.
B  Westpoort,20758,2015,werkzame pers.
E  West,48709,2015,werkzame pers.
F  Nieuw-West,69900,2015,werkzame pers.
K  Zuid,99220,2015,werkzame pers.
M  Oost,58572,2015,werkzame pers.
N  Noord,30174,2015,werkzame pers.
T  Zuidoost,70091,2015,werkzame pers.
Amsterdam,493379,2015,werkzame pers.
A  Centrum,22926,2016,vestigingen met wp
B  Westpoort,1349,2016,vestigingen met wp
E  West,19804,2016,vestigingen met wp
F  Nieuw-West,12309,2016,vestigingen met wp
K  Zuid,22365,2016,vestigingen met wp
M  Oost,16348,2016,vestigingen met wp
N  Noord,8479,2016,vestigingen met wp
T  Zuidoost,6234,2016,vestigingen met wp
Amsterdam,109814,2016,vestigingen met wp
A  Centrum,99361,2016,werkzame pers.
B  Westpoort,21420,2016,werkzame pers.
E  West,47736,2016,werkzame pers.
F  Nieuw-West,72042,2016,werkzame pers.
K  Zuid,102907,2016,werkzame pers.
M  Oost,60412,2016,werkzame pers.
N  Noord,30639,2016,werkzame pers.
T  Zuidoost,75427,2016,werkzame pers.
Amsterdam,509944,2016,werkzame pers.
A  Centrum,23086,2017,vestigingen met wp
B  Westpoort,1382,2017,vestigingen met wp
E  West,20270,2017,vestigingen met wp
F  Nieuw-West,13402,2017,vestigingen met wp
K  Zuid,22861,2017,vestigingen met wp
M  Oost,17133,2017,vestigingen met wp
N  Noord,9309,2017,vestigingen met wp
T  Zuidoost,6659,2017,vestigingen met wp
Amsterdam,114102,2017,vestigingen met wp
A  Centrum,102598,2017,werkzame pers.
B  Westpoort,21920,2017,werkzame pers.
E  West,48402,2017,werkzame pers.
F  Nieuw-West,76718,2017,werkzame pers.
K  Zuid,105642,2017,werkzame pers.
M  Oost,62622,2017,werkzame pers.
N  Noord,32316,2017,werkzame pers.
T  Zuidoost,76770,2017,werkzame pers.
Amsterdam,526988,2017,werkzame pers.
