;area;house_price;rooms;street_name;zipcode
0;114;645000;5 ;Mr. P.N. Arntzeniusweg 100 1;1098 GT
1;55;325000;2 ;Orteliuskade 26 I;1057 AD
2;211;1500000;6 ;Keizersgracht 698 K;1017 EV
3;197;1500000;4 ;Willem van Weldammelaan 125;1082 KT
4;59;185000;2 ;Overleg 110;1068 RM
5;121;849000;4 ;Nassaukade 140 hs;1052 EG
6;120;595000;4 ;Kruislaan 220 I;1098 SL
7;87;550000;3 ;Raamstraat 8 -II;1016 XM
8;70;375000;4 ;Albert Cuypstraat 166 E;1073 BK
9;89;395000;4 ;Wijttenbachstraat 277;1093 HX
10;163;3400000;5 ;Vondelstraat 69 -F;1054 GK
11;61;175000;3 ;Langswater 240;1069 TS
12;112;689000;5 ;Stadionkade 5 II;1077 VG
13;161;900000;4 ;Beethovenstraat 190 III;1077 JX
14;161;985000;4 ;Beethovenstraat 190 3;1077 JX
15;128;900000;3 ;Stadionweg 55 hs;1077 RZ
16;73;195000;3 ;Schaarsbergenstraat 110;1107 JX
17;101;695000;3 ;Van Oldenbarneveldtstraat 3 Hs;1052 JN
18;137;715000;3 ;Prins Hendrikkade 106 B;1011 AJ
19;117;939000;3 ;Leonard Bernsteinstraat 60 C;1082 MR
20;58;695000;2 ;Valeriusstraat 162 2;1075 GG
21;167;1295000;6 ;Hondecoeterstraat 8 I;1071 LR
22;149;670000;4 ;Beysterveld 159 +2 P.P.;1083 KC
23;59;425000;3 ;Tweede Jan Steenstraat 54 III;1074 CP
24;294;2500000;9 ;Valeriusstraat 137 H;1075 ET
25;81;600000;3 ;Bloemgracht 130 I;1015 TP
26;55;269000;4 ;Baetostraat 2 1;1055 EP
27;140;1000000;3 ;Keizersgracht 365 E;1016 EJ
28;76;180000;3 ;Ophemerthof 35;1106 VV
29;105;489000;3 ;Panamalaan 238;1019 AZ
30;142;389500;5 ;Slotermeerlaan 24 B;1064 HB
31;104;375000;5 ;Rudolf Agricolastraat 11;1064 NL
32;54;250000; ;Blokkerstraat 9;1023 VH
33;159;540000;5 ;Zus Braunstraat 9;1034 WX
34;70;250000;4 ;Amoebastraat 5;1035 VK
35;144;625000 von;6 ;Brigantijnkade 70 PP;1086 VB
36;313;1990000; ;Singel 376;1016 AH
37;204;1075000;7 ;Lange Stammerdijk 15;1109 BK
38;198;1250000;6 ;Panamakade 114;1019 AX
39;118;798000; ;Galvanistraat 1;1098 NL
40;360;1345000;8 ;Sloterweg 1123;1066 CE
41;273;2499000;9 ;Keizersgracht 55 A + B;1015 CE
42;61;280000;3 ;Ernest Staesstraat 43 I;1061 CC
43;59;159000;2 ;Reigersbos 191;1107 EX
44;96;360000;3 ;Andries Copierstraat 60;1061 SE
45;56;199000;2 ;Het Hoogt 227;1025 GW
46;152;995000;6 ;Koninginneweg 237 II;1075 CT
47;106;475000;3 ;Th. K. van Lohuizenlaan 234;1095 DW
48;137;750000;7 ;Saenredamstraat 64 bv;1072 CJ
49;83;435000;3 ;Polderweg 132 +PP;1093 KP
50;133;875000;4 ;Kanaalstraat 124 boven;1054 XM
51;90;425000;3 ;Zeeburgerdijk 726;1095 LG
52;111;765000;4 ;Oranje-Vrijstaatkade 58;1093 KS
53;207;1195000;6 ;Jan van Eijckstraat 30 I + III;1077 LM
54;118;725000;3 ;Sint Willibrordusstraat 10 A;1074 XL
55;79;800000;2 ;Herengracht 392 C V;1016 CJ
56;61;550000;2 ;Herengracht 392 C A;1016 CJ
57;86;439000;3 ;Stuyvesantstraat 53 Bv;1058 AK
58;112;579000;3 ;Transvaalkade 8 A;1092 JJ
59;55;300000;2 ;Haarlemmermeerstraat 124 I;1058 KH
60;133;840000;5 ;Wakkerstraat 6 H;1097 CE
61;32;200000;1 ;Bilderdijkstraat 191 3-voor;1053 KS
62;44;330000;2 ;Kerkstraat 175 -I;1017 GH
