gebiedcode15,waarde
STAD,51.7
A,63.1
B,73.1
F,44.8
E,49.9
T,29.5
N,57.2
M,50.8
K,63.8
Z,
DX08,61.3
DX05,55.1
DX03,54.5
DX06,36.8
DX04,33.8
DX09,40.3
DX07,44.6
DX02,62.1
DX01,64.1
DX18,59.0
DX17,62.9
DX20,13.7
DX19,48.5
DX22,44.2
DX21,22.6
DX12,61.5
DX15,70.1
DX11,64.9
DX14,44.5
DX13,43.4
DX16,52.2
DX10,66.2
ZX99,73.1
A00,60.0
A01,59.5
B10,73.1
A09,57.4
A08,63.9
A07,64.8
A06,68.2
A05,65.2
A04,64.5
A03,62.5
A02,57.5
E12,72.4
E14,53.8
E13,47.7
E40,60.6
E41,41.6
E38,47.6
E39,13.8
E37,37.5
E22,63.6
E36,69.6
E20,67.7
E21,65.0
E19,52.8
E18,55.3
E17,66.9
E16,60.1
E15,62.4
F11,66.7
E75,41.5
E43,58.9
E42,44.0
F86,26.2
F85,50.9
F83,51.2
F84,56.5
F82,27.5
F80,83.1
F81,51.6
F79,61.0
F78,33.6
F77,37.6
F76,33.5
K24,60.9
K23,64.9
F89,44.3
F88,66.2
F87,44.0
K52,72.2
K49,66.0
K48,61.5
K47,68.7
K45,62.7
K46,66.9
K44,68.5
K26,47.2
K25,57.8
M27,57.9
K91,64.2
K90,65.2
K59,66.9
K53,60.6
K54,65.0
M51,
M50,
M35,59.1
M34,32.2
M33,64.0
M32,32.5
M31,29.5
M30,34.6
M28,45.3
M29,43.4
N60,56.6
N61,40.8
N63,83.0
N62,83.9
N68,37.6
N67,80.5
N65,75.5
N66,64.7
N64,82.2
M58,59.3
M57,73.1
M56,74.4
M55,64.8
T92,62.7
T93,13.4
T95,61.5
T94,22.6
N74,59.1
N73,88.4
N72,70.5
N71,72.0
N70,49.5
N69,53.2
Z99,
T97,42.6
T98,87.1
T96,39.2
TS02,27.5
TS03,10.5
TS01,10.9
TS17,
TS18,16.4
ZS99,73.1
TS16,87.1
TS13,42.6
TS15,62.7
TS14,61.5
TS12,41.2
TS11,57.3
TS06,11.9
TS07,10.9
TS04,51.1
TS05,6.3
TS09,11.4
TS08,13.9
TS10,29.6
NS74,59.1
NS72,70.5
NS70,49.5
NS71,72.0
NS69,53.2
NS73,88.4
NS68,37.6
NS67,80.5
NS60,56.6
NS61,40.8
NS65,75.5
NS62,83.9
NS64,82.2
NS66,64.7
NS63,83.0
MS13,39.6
MS12,69.4
MS16,75.6
MS14,73.1
MS11,75.8
MS17,74.4
MS15,50.3
MS08,73.2
MS04,55.2
MS06,45.0
MS10,67.7
MS09,69.2
MS05,34.6
MS07,62.8
MS03,42.5
MS02,45.3
MS01,57.9
MS26,27.1
MS30,39.9
MS31,
MS28,53.8
MS25,23.0
MS29,64.6
MS27,32.2
MS18,65.7
MS23,32.7
MS20,72.3
MS24,35.8
MS22,49.9
MS21,66.6
MS19,57.7
KS90,65.2
KS91,64.2
KS52,72.2
KS48,61.5
KS59,66.9
KS49,66.0
KS54,65.0
KS53,60.6
KS47,68.7
KS24,60.9
KS26,47.2
KS44,68.5
KS23,64.9
KS45,62.7
KS25,57.8
KS46,66.9
FS89,44.3
FS86,26.2
FS88,66.2
FS87,44.0
FS84,56.5
FS85,50.9
FS81,51.6
FS79,61.0
FS83,51.2
FS82,27.5
FS78,33.6
FS80,83.1
FS77,37.6
FS11,66.7
FS76,33.5
ES06,91.8
ES03,47.5
ES01,72.4
ES05,65.6
ES02,48.6
ES07,60.1
ES04,53.8
ES99,68.4
ES25,44.0
ES61,47.9
ES26,58.9
ES27,30.8
ES23,41.5
ES22,60.6
ES24,41.6
ES19,37.2
ES18,48.8
ES20,
ES21,10.7
ES15,40.1
ES17,28.5
ES16,42.1
ES14,80.9
ES08,65.0
ES09,55.3
ES13,65.3
ES12,64.2
ES11,67.7
ES10,49.4
AS07,58.9
AS11,66.7
AS06,66.4
AS05,68.9
AS08,59.5
AS09,63.5
AS10,59.1
AS03,65.1
AS01,64.9
AS02,72.0
AS04,57.5
AS20,62.0
AS19,68.0
AS17,56.2
AS12,63.6
AS15,65.8
AS18,66.8
AS13,55.8
AS14,66.7
AS16,
ZA99,73.1
TA10,87.1
TA08,11.4
TA06,44.3
TA09,62.7
TA04,13.9
TA01,22.6
TA05,37.4
TA02,16.4
TA03,9.0
AA12,59.8
AA11,65.8
AA04,60.5
AA03,63.8
AA02,65.1
EA04,49.0
EA03,33.8
EA01,54.5
EA02,61.6
FA07,38.2
FA06,51.6
FA08,56.5
FA10,66.7
FA09,66.2
FA04,37.6
FA03,33.5
FA05,37.7
FA01,44.2
FA02,37.1
KA02,67.7
KA05,66.8
KA03,66.2
KA01,56.5
KA04,64.8
MA01,43.4
MA03,64.0
MA04,30.9
MA05,52.2
MA02,70.1
NA60,56.6
NA68,37.6
NA70,49.5
NA69,53.2
NA74,59.1
NA73,88.4
NA72,70.5
NA71,72.0
NA61,40.8
NA65,75.5
NA63,83.0
NA67,80.5
NA64,82.2
NA66,64.7
NA62,83.9
ZY99,73.1
DY27,44.2
DY23,59.0
DY25,13.7
DY24,48.5
DY26,22.6
DY17,43.4
DY20,70.1
DY22,62.9
DY18,30.9
DY21,52.2
DY16,67.7
DY19,64.0
DY01,64.1
DY10,61.3
DY12,64.8
DY09,44.6
DY13,67.5
DY11,40.3
DY14,64.9
DY15,56.5
DY06,49.0
DY08,37.7
DY04,33.8
DY07,36.2
DY03,54.5
DY02,62.1
DY05,61.6
Z99z,
T98b,88.6
T98a,87.1
T96e,42.0
T96c,57.3
T96a,33.7
T96f,37.8
T96b,27.0
T96d,32.8
T96g,50.2
T97b,17.1
T97d,45.7
T97c,61.8
T97a,30.4
E13d,54.1
E13b,48.1
E13c,56.2
E12b,72.6
E13a,48.6
E12a,72.1
E13g,100.0
E14a,57.7
E13f,36.8
E13h,57.1
E14b,58.4
E13e,51.0
E15b,92.0
E14c,53.3
E14f,55.3
E14d,52.1
E15a,65.6
E14e,51.1
E16a,60.6
E16c,65.9
E15c,91.2
E15d,47.9
E16b,57.5
E18b,51.8
E19b,47.8
E17a,66.9
E19a,61.0
E18a,60.3
E20c,66.4
E19c,51.8
E20b,68.1
E21a,64.2
E20a,68.5
E22b,65.4
E21b,66.8
E22a,61.6
E36a,80.9
E37d,45.1
E36b,30.8
E37e,45.4
E37f,42.1
E37c,28.5
E37a,50.8
E38c,50.3
E39a,29.6
E37g,31.3
E39b,
E38d,42.3
E40c,52.9
E39d,9.2
E40b,61.7
E40a,66.8
E39c,13.4
E75c,30.7
E75b,43.9
E75d,36.1
E41a,45.1
E41b,35.9
E41c,47.5
E41d,26.6
E42b,42.4
E42a,36.5
E42d,53.9
E43a,55.1
E42c,49.6
E75a,51.2
E43b,63.9
F11c,
F11a,50.0
F11e,68.4
F11d,50.0
F77e,
F77f,34.4
F77d,19.2
F77c,44.5
F77b,51.1
F77a,45.2
F76b,19.4
F11j,100.0
F11h,
F11f,88.9
F76a,41.8
F78e,46.6
F79a,56.0
F78d,29.8
F78b,48.3
F78a,36.9
F78c,26.0
F81a,44.8
F80a,44.4
F80b,82.7
F79b,61.1
F80c,100.0
F81b,53.3
F81e,66.9
F81c,40.4
F81d,64.0
F82a,23.3
F82b,33.5
F83a,51.2
F82d,34.1
F82c,23.0
F84a,65.6
F83b,83.3
F84c,50.9
F84b,55.9
F85a,60.3
F85c,35.6
F85b,62.1
F86c,64.7
F86d,69.4
F86b,30.6
F86f,14.3
F86a,11.4
F86e,31.8
A09i,67.6
A09f,36.7
A09e,51.3
A09h,64.8
A09b,59.1
A09a,77.3
A08e,66.1
A08d,68.0
A09d,48.1
A09c,52.9
B10b,50.0
B10a,72.9
B10c,88.6
B10f,67.8
B10h,100.0
B10g,87.5
B10d,54.8
B10e,85.7
A02b,49.6
A01h,58.4
A02a,65.1
A01g,65.5
A02d,62.7
A02c,60.2
A03e,56.7
A03a,55.3
A03f,54.6
A03c,66.4
A03d,66.9
A03b,65.4
A04d,64.6
A03g,60.7
A04c,50.2
A04b,76.6
A04a,66.7
