gebiedcode15,waarde
STAD,1.5
A,0.9
F,1.0
E,1.0
B,0.8
T,5.9
N,1.4
M,1.0
K,0.8
Z,
DX01,1.0
DX03,1.1
DX04,1.0
DX02,0.8
DX21,7.2
DX22,4.2
DX19,1.8
DX20,7.4
DX14,1.2
DX13,1.0
DX12,0.9
DX17,1.1
DX16,1.7
DX15,0.7
DX18,1.2
DX05,1.0
DX09,0.8
DX07,1.0
DX06,1.0
DX10,0.7
DX11,0.8
DX08,0.9
ZX99,0.8
A00,0.6
A01,1.2
A04,0.7
A02,1.3
A03,0.5
A09,1.1
A08,0.8
A07,0.9
A06,0.8
A05,1.0
B10,0.8
E12,0.6
E13,1.4
E18,1.1
E19,1.2
E17,0.9
E16,0.9
E15,0.6
E14,1.1
F11,0.0
F77,1.0
F76,1.1
F79,0.6
F78,1.1
E75,0.9
E43,0.9
E42,1.0
E41,1.1
E40,1.0
E39,1.0
E38,1.0
E22,1.0
E37,1.0
E36,2.3
E20,0.9
E21,0.8
K23,0.0
K45,1.0
K26,0.8
K44,0.8
K25,1.0
K24,1.0
F89,0.8
F88,1.0
F87,1.1
F85,0.6
F86,0.8
F84,0.8
F83,1.2
F82,1.0
F80,0.6
F81,1.0
M28,1.1
M27,0.8
M29,1.1
M32,1.3
M33,1.1
M31,1.1
M30,1.0
K91,0.8
K90,0.8
K59,0.6
K54,1.2
K53,1.0
K52,0.7
K49,0.5
K48,0.9
K47,0.6
K46,0.6
N60,1.1
N61,1.8
M58,1.6
M57,0.7
M56,0.6
M55,0.8
M51,
M50,
M35,1.8
M34,0.7
T92,0.9
N74,0.8
N73,0.0
N71,1.9
N72,0.0
N70,1.4
N69,2.4
N68,1.7
N67,0.7
N66,1.1
N64,0.6
N65,0.7
N63,0.8
N62,0.5
Z99,
T97,3.9
T98,0.6
T96,5.0
T95,2.2
T94,7.2
T93,7.4
AS03,1.1
AS05,0.8
AS02,0.7
AS06,0.8
AS01,1.0
AS04,1.3
ES01,0.6
ES02,1.6
ES61,0.7
ES24,1.1
ES26,0.9
ES23,0.9
ES27,0.0
ES25,1.0
ES99,14.3
ES19,0.7
ES20,
ES18,1.1
ES21,1.0
ES22,1.0
ES17,0.8
ES15,1.1
ES13,1.1
ES10,1.4
ES14,3.1
ES11,0.9
ES16,1.4
ES12,0.7
ES09,1.1
ES06,0.0
ES07,0.9
ES08,0.8
ES05,0.6
ES04,1.1
ES03,1.4
AS18,0.8
AS20,0.8
AS15,0.8
AS19,0.6
