gebiedcode15,waarde
STAD,8.9
A,1.7
B,0.0
E,11.7
F,18.7
K,3.3
M,10.9
N,9.0
Z,
T,1.9
DX06,23.8
DX03,8.7
DX04,23.1
DX09,22.3
DX07,20.1
DX05,8.0
DX08,5.8
DX11,1.5
DX14,13.6
DX15,4.6
DX16,6.7
DX12,5.0
DX13,13.4
DX10,2.0
DX20,2.8
DX22,1.5
DX19,10.4
DX18,10.2
DX17,7.1
DX21,1.9
DX02,1.9
DX01,1.5
ZX99,0.0
A05,1.9
A06,1.2
A07,0.4
A08,0.9
A09,5.1
A01,1.3
A02,2.2
A03,0.3
A04,0.7
A00,1.3
E14,8.8
E15,10.4
E16,7.4
E19,9.7
E17,3.2
E18,7.4
E12,1.0
E13,10.4
B10,0.0
M33,4.1
M34,0.4
M35,7.1
M50,
M55,8.0
M51,
M56,2.4
M57,5.1
M58,1.6
N60,11.7
N61,16.6
K45,3.6
K46,1.0
K47,0.3
K49,0.2
K48,5.2
K52,1.3
K53,5.5
K54,4.4
K59,0.3
K90,1.7
K91,1.4
M31,20.9
M30,19.1
M32,20.4
M29,13.7
M28,11.1
M27,5.9
F81,16.5
F80,1.3
F82,30.6
F83,11.6
F84,8.1
F85,13.7
F86,33.2
F87,12.4
F88,3.5
F89,22.7
K26,12.0
K44,2.3
K25,5.9
K24,3.9
K23,0.0
E20,1.9
E21,2.1
E22,2.2
E36,0.0
E37,21.0
E38,12.7
E39,36.5
E41,13.6
E40,5.8
E42,13.5
E75,15.7
E43,6.7
F77,25.2
F78,23.5
F79,6.5
F76,26.2
F11,1.3
N62,1.5
N63,2.2
N64,0.7
N66,4.9
N65,4.2
N67,1.3
N68,15.5
N69,6.8
N70,11.7
N71,0.7
N72,2.9
N73,0.2
N74,4.7
T92,0.0
T93,2.8
T94,1.9
T95,0.6
T96,1.7
T97,1.5
T98,0.3
Z99,
AS08,1.3
AS09,1.8
AS11,0.4
AS06,1.0
AS05,1.3
AS07,1.2
AS10,0.5
AS17,4.5
AS15,0.6
AS18,2.5
AS12,0.2
AS16,
AS13,0.7
AS14,2.8
AS19,0.8
AS20,1.0
AS03,2.3
AS01,1.5
AS04,2.2
AS02,0.0
ES05,7.7
ES01,1.0
ES06,0.0
ES02,9.9
ES03,10.6
ES04,8.8
ES12,2.6
ES11,1.9
ES08,3.4
ES10,12.2
ES07,7.4
ES13,1.4
ES09,7.4
ES14,0.0
ES19,21.4
ES15,21.3
ES20,
ES18,13.1
ES17,24.4
ES16,16.7
ES24,13.6
