gebiedcode15,waarde
STAD,9.3
E,6.0
B,3.1
A,3.5
N,8.9
M,8.9
K,4.0
F,7.9
T,32.9
Z,
DX01,2.7
DX02,4.3
DX18,7.7
DX19,10.7
DX20,39.9
DX21,34.0
DX17,8.3
DX22,27.9
DX14,10.0
DX13,10.5
DX16,11.2
DX12,5.0
DX15,4.7
DX10,2.9
DX11,3.5
DX05,5.3
DX09,7.4
DX06,7.5
DX07,7.6
DX04,6.4
DX03,6.9
DX08,9.4
ZX99,3.1
B10,3.1
E12,3.3
E13,10.9
E18,5.6
E17,3.0
E19,7.4
E16,3.8
E15,6.2
E14,6.1
A00,2.2
A04,2.7
A03,0.9
A02,3.9
A01,1.5
A09,8.9
A08,3.4
A07,1.9
A06,2.4
A05,3.1
F11,1.3
F76,7.3
F78,7.8
F79,10.3
F77,7.1
E43,4.6
E75,6.5
E42,7.3
E40,4.4
E41,8.3
E39,6.9
E38,3.8
E37,7.0
E36,2.2
E22,2.3
E21,2.9
E20,2.8
K23,3.6
K24,4.0
K25,6.0
K44,3.3
K26,9.1
F89,8.3
F88,7.8
F87,6.8
F86,6.8
F85,7.6
F83,8.5
F84,10.9
F82,8.3
F80,4.0
F81,6.9
M27,5.5
M29,10.4
M28,10.8
M32,12.4
M30,12.4
M31,11.3
K91,3.1
K59,1.1
K90,4.0
K54,5.2
K53,5.8
K52,2.2
K48,5.5
K49,0.8
K47,1.4
K45,5.4
K46,2.1
N60,8.2
N61,12.0
M57,6.6
M58,4.5
M56,3.3
M51,
M55,5.9
M50,
M35,12.0
M34,1.5
M33,7.5
Z99,
T98,2.8
T97,27.6
T96,32.8
T95,10.6
T94,34.0
T93,40.1
T92,8.0
N74,10.5
N72,5.1
N73,0.9
N71,4.3
N70,11.1
N69,9.2
N68,13.5
N67,4.5
N66,8.3
N65,5.4
N64,0.6
N63,3.5
N62,2.5
AS01,2.4
AS03,3.5
AS02,3.7
AS04,3.9
AS20,4.0
AS19,2.2
AS16,
AS12,0.8
AS13,1.8
AS15,2.3
AS14,0.0
AS18,4.3
AS17,8.5
AS08,1.5
AS05,2.3
AS11,1.9
AS10,2.0
AS06,2.5
AS09,2.4
AS07,2.1
MS07,5.2
MS05,12.4
MS04,9.3
MS09,6.3
MS10,5.5
MS08,4.5
MS06,6.3
MS03,10.5
MS01,5.5
MS02,10.8
MS31,
MS30,13.8
MS28,11.7
MS25,14.4
MS27,1.5
MS29,9.1
MS26,13.0
MS22,13.0
MS24,12.1
MS18,7.4
MS19,8.5
MS20,4.8
MS23,9.7
MS21,5.9
MS14,6.6
MS15,6.5
MS16,0.9
MS11,2.5
MS12,7.4
MS13,1.7
MS17,4.0
KS53,5.8
KS52,2.2
KS48,5.5
KS59,1.1
KS49,0.8
KS54,5.2
KS47,1.4
KS25,6.0
KS44,3.3
KS45,5.4
KS24,4.0
KS46,2.1
KS26,9.1
KS23,3.6
KS91,3.1
KS90,4.0
FS89,8.3
FS86,6.8
FS84,10.9
FS85,7.6
FS88,7.8
FS87,6.8
FS83,8.5
FS81,6.9
FS79,10.3
FS82,8.3
FS77,7.1
FS80,4.0
FS78,7.8
FS76,7.3
FS11,1.3
ES99,0.0
ES61,9.3
ES25,7.3
ES26,4.6
ES23,6.5
ES22,4.4
ES21,6.9
ES27,2.7
ES24,8.3
ES16,7.7
ES18,3.9
ES17,6.3
ES15,7.6
ES14,2.0
ES19,5.4
ES20,
ES10,8.7
ES13,3.0
ES12,2.6
ES11,2.8
ES09,5.6
ES08,3.4
ES03,10.8
ES04,6.1
ES02,11.3
ES07,3.8
ES01,3.3
ES05,5.2
ES06,0.0
NS74,10.5
NS67,4.5
NS73,0.9
NS69,9.2
NS71,4.3
NS70,11.1
NS68,13.5
NS72,5.1
NS61,12.0
NS64,0.6
NS65,5.4
NS63,3.5
NS66,8.3
NS62,2.5
NS60,8.2
TS18,40.5
TS17,
ZS99,3.1
TS11,21.5
TS14,10.6
TS16,2.8
TS12,31.2
TS10,39.0
TS13,27.6
TS15,8.0
TS08,32.8
TS07,57.9
TS03,30.9
TS04,23.0
TS05,40.4
TS06,48.7
TS09,53.5
TS01,44.6
TS02,36.9
AA12,1.9
AA04,6.2
AA11,2.3
AA03,1.5
AA02,2.9
EA01,6.9
EA04,6.3
EA02,4.2
EA03,6.4
FA09,7.8
FA07,8.1
FA10,1.3
FA08,10.9
FA06,6.9
FA02,7.2
FA01,7.8
FA03,7.3
FA05,8.1
FA04,7.1
KA05,1.3
KA02,3.8
KA03,2.9
KA04,3.6
KA01,6.0
MA01,10.5
