gebiedcode15,waarde
STAD,14.8
A,23.4
B,25.6
E,16.0
F,11.0
K,20.3
Z,
T,8.4
M,13.7
N,9.4
DX07,10.4
DX06,9.7
DX05,17.9
DX04,10.8
DX08,12.7
DX02,22.6
DX03,17.1
DX01,24.2
DX13,14.2
DX12,18.6
DX11,22.1
DX09,11.8
DX10,21.6
DX15,14.7
DX14,13.4
DX20,7.1
DX16,11.5
DX17,8.9
DX18,9.9
DX19,9.5
DX21,7.9
DX22,9.5
ZX99,25.6
A04,24.2
A05,21.8
A06,22.3
A02,29.7
A03,28.0
A01,27.8
A00,25.6
K48,16.6
K49,27.3
K52,18.9
K53,18.6
K54,16.8
K90,21.4
K59,26.5
K91,22.6
K44,17.9
K45,18.8
K46,25.7
K47,24.8
K25,18.4
K24,20.7
K26,16.5
K23,17.2
F85,12.5
F84,11.2
F86,9.1
F87,18.3
F88,14.2
F89,10.7
F79,12.0
F78,9.2
F80,9.4
F81,10.6
F82,9.6
F83,12.1
F76,9.4
F77,9.9
F11,35.6
E39,6.8
E38,14.4
E40,17.8
E42,14.2
E41,14.2
E43,18.7
E75,15.1
E18,18.1
E17,20.8
E19,16.7
E20,20.6
E22,24.9
E36,18.5
E21,22.3
E37,11.2
E15,15.6
E16,18.5
E14,17.3
E13,14.4
E12,25.6
A07,24.4
A08,23.5
A09,17.8
B10,25.6
Z99,
T95,16.9
T96,8.3
T97,9.8
T98,8.5
T94,7.9
T93,7.0
T92,17.6
N68,8.9
N67,9.9
N69,10.2
N70,8.9
N71,13.9
N73,8.7
N72,15.6
N74,12.5
N63,8.0
N64,14.8
N65,8.1
N66,9.4
N62,9.4
N61,10.2
N60,9.0
M50,
M51,11.0
M55,14.1
M56,15.6
M58,18.0
M57,10.4
M32,10.6
M33,15.5
M34,14.2
M35,11.4
M28,15.0
M29,12.9
M31,12.7
M30,12.4
M27,18.2
AS02,19.7
AS03,21.0
AS01,23.8
AS09,26.3
AS08,27.8
AS04,29.7
AS06,23.3
AS05,21.9
AS07,25.4
AS10,25.3
AS11,24.1
AS16,
AS13,28.9
AS15,23.7
AS14,26.7
AS17,19.4
AS12,27.9
AS19,23.4
AS18,19.3
AS20,24.0
ES08,20.3
ES10,15.5
ES11,20.6
ES13,24.0
ES07,18.5
ES12,21.9
ES09,18.1
ES18,15.2
ES17,9.9
ES15,10.7
ES20,
ES14,19.2
ES19,11.1
ES16,11.9
ES02,15.8
ES05,15.4
ES03,14.1
ES01,25.6
ES04,17.3
ES06,7.9
ES23,15.1
ES24,14.2
ES27,17.5
ES25,14.2
ES21,6.2
ES22,17.8
ES26,18.7
ES99,0.0
ES61,17.2
FS77,9.9
FS78,9.2
FS79,12.0
FS76,9.4
FS81,10.6
FS80,9.4
FS82,9.6
FS11,35.6
FS83,12.1
FS87,18.3
FS86,9.1
FS89,10.7
FS84,11.2
FS85,12.5
FS88,14.2
KS44,17.9
KS23,17.2
KS26,16.5
KS24,20.7
KS45,18.8
KS25,18.4
KS52,18.9
KS49,27.3
KS46,25.7
KS54,16.8
KS53,18.6
KS47,24.8
KS48,16.6
KS91,22.6
KS59,26.5
KS90,21.4
MS02,15.0
MS01,18.2
MS08,14.5
MS04,12.0
MS07,16.2
MS06,23.4
MS09,11.8
MS03,13.0
MS05,12.4
MS13,22.6
MS14,10.4
MS11,15.5
MS16,15.8
MS15,12.4
MS10,12.7
MS12,12.3
MS20,15.6
MS21,14.7
MS19,16.4
MS18,17.1
MS23,14.8
MS22,14.2
MS17,15.7
MS27,14.2
MS28,9.5
MS24,11.1
MS26,9.6
MS30,11.5
MS25,8.4
MS29,12.9
MS31,11.0
NS65,8.1
NS60,9.0
NS63,8.0
NS61,10.2
NS62,9.4
NS64,14.8
NS71,13.9
NS69,10.2
NS70,8.9
NS66,9.4
NS67,9.9
NS72,15.6
NS68,8.9
NS73,8.7
NS74,12.5
TS04,11.3
TS06,6.4
TS03,5.7
TS07,4.5
TS08,7.5
TS05,7.7
TS02,7.7
TS10,5.6
TS14,16.9
TS09,7.1
TS11,12.6
TS13,9.8
TS15,17.6
TS12,9.3
TS01,7.1
ZS99,25.6
TS17,
TS18,7.0
TS16,8.5
KA04,21.8
KA03,21.6
KA02,18.2
KA01,18.9
KA05,25.2
FA03,9.4
FA01,13.4
FA04,9.9
FA02,10.6
FA10,35.6
FA06,10.6
FA09,14.2
FA05,9.6
FA08,11.2
FA07,10.2
EA03,10.8
EA01,17.1
EA02,20.0
EA04,15.9
AA04,20.7
AA11,23.7
AA03,25.9
AA12,26.7
AA02,23.6
ZA99,25.6
TA03,6.2
TA02,7.0
TA01,7.9
TA05,7.5
TA06,10.5
TA09,17.6
TA10,8.5
TA04,7.5
TA08,7.1
NA61,10.2
NA66,9.4
NA64,14.8
NA63,8.0
NA60,9.0
NA62,9.4
NA65,8.1
NA68,8.9
NA71,13.9
NA67,9.9
NA73,8.7
NA72,15.6
NA70,8.9
NA69,10.2
NA74,12.5
MA01,14.2
MA02,14.7
MA03,15.5
MA05,11.5
MA04,11.7
DY15,18.9
DY19,15.5
DY18,11.7
DY17,14.2
DY16,18.2
DY21,11.5
DY20,14.7
DY26,7.9
DY22,8.9
DY25,7.1
DY23,9.9
DY24,9.5
DY27,9.5
DY08,9.6
DY10,12.7
DY13,25.8
DY12,17.5
DY09,10.4
DY14,22.1
DY11,11.8
DY05,20.0
DY01,24.2
DY03,17.1
DY07,9.8
DY04,10.8
DY06,15.9
DY02,22.6
ZY99,25.6
A00c,24.4
A00a,25.6
A00b,27.9
A00d,30.8
A01c,31.8
A01b,26.8
A01d,30.4
A00e,24.1
A01e,30.6
A01a,0.0
A02d,28.3
A03c,25.0
A03b,31.2
A03e,27.3
A03a,32.1
A03d,26.0
A02a,27.4
A01f,24.3
A02c,29.7
A01g,22.1
A01h,28.5
A02b,32.6
A06i,23.9
A06d,18.2
A06h,23.0
A06f,19.9
A06g,23.8
A06e,21.7
A06c,25.3
A05g,17.6
A05f,28.1
A06a,23.0
A05c,21.2
A05b,21.2
A05d,23.2
A04i,24.1
A04f,20.4
A04h,24.0
A05a,19.7
A04e,23.5
A04g,21.2
A04b,22.5
A04a,27.6
A03f,31.0
A03g,32.9
A04d,24.2
A04c,34.6
F83a,12.1
F83b,16.7
F82b,10.7
F82c,8.2
F82a,5.9
F82d,13.1
F81e,12.5
F81a,7.5
F81b,14.3
F81d,11.7
F81c,10.5
F80b,9.9
F80a,0.0
F79b,12.2
F79a,0.0
F80c,0.0
F78b,10.1
F78d,8.6
F78c,10.3
F78a,8.0
F78e,17.6
F77a,11.6
F77f,8.8
F77d,5.8
F77c,10.2
F77e,
F77b,14.2
F11j,0.0
F76b,7.6
F11f,28.6
F11e,11.5
F76a,10.5
F11h,
F11a,60.0
F11d,50.0
F11c,
F88b,13.9
F88d,8.3
F88a,5.2
F88c,24.1
F88e,14.3
F87f,0.0
F87d,12.7
F87a,23.4
F87c,22.0
F86f,
F87b,18.2
F87e,0.0
F86a,5.5
F86c,22.1
F86d,20.5
F86b,9.9
F85c,10.6
F86e,7.6
F84a,11.3
F84b,12.1
F85a,12.3
F84c,10.5
F85b,15.8
F88g,19.0
F88h,14.0
F88i,16.3
F88j,11.9
F89a,11.4
F88f,12.0
F89d,17.2
F89b,12.3
F89c,7.5
K47h,60.0
K47f,25.3
K47e,23.3
K47i,0.0
K47j,24.3
K47g,17.8
K47a,25.5
K46d,
K46c,26.1
K47d,25.0
K47b,28.4
K47c,27.6
K45b,15.5
K44f,14.8
K46a,29.4
K46b,23.6
K45a,21.1
K44e,18.6
K44c,18.6
K44b,17.1
K44a,17.6
K26c,16.4
K44d,18.3
K25d,17.5
K26b,17.1
K25b,20.1
K25a,16.1
K26a,16.1
K25c,19.5
K24b,22.0
K24d,18.3
K24c,22.0
K24a,20.1
K24e,21.2
K23c,15.4
K23a,5.3
K23b,
K23e,24.0
K23d,34.6
K54b,17.6
K53a,18.9
K53b,18.5
K54a,17.6
K54c,17.3
K52g,14.9
K52a,20.9
K52b,18.9
K52h,17.7
K52c,18.9
K52d,19.2
K48e,11.3
K48a,14.1
K48b,16.2
K48d,19.7
K48c,15.9
K48f,18.8
K49a,24.4
K49b,28.9
K49e,29.0
K49d,26.3
K49c,23.4
K49f,26.4
K90d,19.0
K90c,21.1
K90e,16.4
K90i,28.9
K90j,33.3
K91a,21.5
K54e,19.6
K59a,26.5
K59b,
K54d,13.5
K90a,22.4
K91d,9.1
K91b,20.2
K91c,25.1
E13c,14.2
E13a,15.8
E12a,29.3
E13b,13.3
E12b,17.1
E13g,0.0
E13e,14.3
E14a,19.7
E13f,13.0
E13d,16.6
E13h,0.0
E16a,19.7
E15d,17.2
E15c,13.4
E15b,4.9
E16b,18.5
E14b,16.8
E14f,16.6
E14e,17.4
E14c,14.0
E15a,15.4
E14d,18.4
E37d,11.7
E36b,17.5
E37c,9.9
E37a,11.0
E37e,15.1
E36a,19.2
E22b,22.9
E21b,23.2
E22a,27.1
E21a,21.9
E19b,13.6
E19c,18.5
E20a,21.7
E19a,19.3
E20b,17.9
E20c,22.5
E16c,15.0
E17a,20.8
E18a,17.2
E18b,18.8
E43b,18.1
E43a,19.2
E42c,17.2
E42b,13.2
E42d,15.3
E41a,15.2
E41c,14.0
E41b,13.4
E41d,0.0
E42a,12.9
E39c,8.1
E39d,5.1
E40a,17.6
E40c,16.2
E39b,
E40b,18.9
E38c,15.2
E38d,12.6
E37g,9.4
E37f,11.9
E39a,9.3
E75c,13.8
E75a,17.1
E75d,12.0
E75b,16.4
A07h,24.8
A07g,24.7
A07e,23.1
A07d,23.3
A07f,25.1
A07a,24.3
A06k,20.1
A06j,20.1
A07c,25.8
A06l,21.1
A07b,27.5
A08a,22.4
A08b,26.6
A08d,23.4
A09a,22.9
A08e,17.4
A09b,15.5
A09i,20.3
A09d,15.4
A09e,16.7
A09h,17.1
A09c,14.5
A09f,25.7
B10a,18.0
B10b,60.0
B10d,0.0
B10e,12.5
B10g,12.5
B10c,21.4
B10f,38.2
B10h,44.4
Z99z,
T93g,6.1
T93f,7.2
T93e,7.1
T93d,6.4
T93b,6.6
T93h,8.3
T93c,7.7
T93i,20.7
T94a,11.3
T93k,
T94c,7.8
T93j,4.5
T94b,7.2
T92e,50.0
T92g,6.9
T92c,65.0
T92f,27.3
T93a,7.3
T92d,8.3
T92b,14.3
T92a,
T97b,7.5
T97a,9.6
T96g,11.3
