gebiedcode15,waarde
STAD,25.1
A,14.5
B,10.7
F,33.4
E,20.2
Z,
T,34.9
N,33.4
M,27.1
K,19.1
DX12,17.7
DX14,28.1
DX09,30.2
DX08,44.0
DX10,21.4
DX13,22.2
DX11,17.5
DX02,15.8
DX07,28.4
DX06,33.9
DX05,18.5
DX01,13.3
DX03,19.1
DX04,26.0
DX22,36.8
DX19,33.6
DX16,46.1
DX21,33.6
DX20,33.3
DX18,29.5
DX17,36.5
DX15,22.8
ZX99,10.7
A00,9.8
A02,12.0
A01,6.5
B10,10.7
A08,13.4
A09,21.6
A07,13.0
A05,18.5
A06,13.7
A04,14.4
A03,12.7
E13,22.6
E12,5.2
E14,18.7
E15,34.3
E41,17.9
E42,19.8
E40,18.8
E38,20.1
E39,35.3
E37,25.1
E36,7.4
E22,21.6
E21,16.6
E20,18.4
E18,15.0
E17,15.9
E19,15.9
E16,15.5
F11,12.5
F76,32.8
E75,28.0
E43,19.0
F87,22.3
F86,33.6
F84,47.1
F85,32.6
F83,30.7
F81,23.8
F82,32.7
F80,37.9
F79,41.5
F78,38.2
F77,30.8
Z99,
T98,40.2
T97,42.1
K23,8.4
K24,13.1
F89,30.3
F88,41.2
K52,22.2
K49,29.2
K48,19.3
K47,22.2
K45,16.0
K46,28.7
K44,17.5
K26,22.7
K25,14.5
M27,17.8
M28,20.2
K91,16.0
K59,22.7
K90,18.4
K53,19.7
K54,17.8
M51,45.6
M55,19.4
M35,51.0
M50,
M34,5.3
M33,33.1
M32,27.6
M31,22.3
M30,27.0
M29,22.2
N60,29.5
N63,33.4
N64,47.6
N62,26.2
N61,29.4
N69,25.6
N68,40.0
N67,38.5
N66,41.1
N65,32.1
M58,6.5
M57,17.0
M56,30.9
T92,11.2
T93,33.5
T96,36.9
T95,18.5
T94,33.6
N74,47.2
N72,24.6
N73,37.3
N71,15.7
N70,37.1
AS19,15.5
AS18,20.3
AS20,12.5
AS17,19.2
AS14,10.8
AS11,14.9
AS12,14.2
AS16,
AS15,14.9
AS13,4.5
AS09,9.8
AS04,12.0
AS10,7.8
AS06,12.3
AS07,9.8
AS05,14.4
AS08,6.5
AS02,25.1
AS01,18.5
AS03,16.0
ES06,30.3
ES11,18.4
ES10,17.8
ES08,14.5
ES12,15.8
ES07,15.5
ES09,15.0
ES03,22.1
ES05,47.5
ES01,5.2
ES02,25.1
ES04,18.7
ES61,21.2
ES99,14.3
ES27,1.5
ES25,19.8
ES22,18.8
ES24,17.9
ES20,
ES26,19.0
ES21,38.6
ES23,28.0
ES13,20.0
ES18,21.7
ES15,21.5
ES17,32.0
ES14,13.2
ES19,23.2
ES16,22.0
TS01,37.2
TS08,37.2
TS04,27.0
TS03,37.7
TS07,51.7
TS05,36.7
TS02,31.2
TS06,47.2
TS17,0.0
TS16,40.2
TS18,26.7
TS14,18.5
TS09,25.5
TS13,42.1
TS12,31.6
TS15,11.5
TS10,43.7
TS11,36.8
ZS99,10.7
NS60,29.5
NS64,47.6
NS61,29.4
NS63,33.4
NS62,26.2
NS73,37.3
NS74,47.2
NS72,24.6
NS69,25.6
NS66,41.1
NS65,32.1
NS67,38.5
NS71,15.7
NS68,40.0
NS70,37.1
MS21,46.4
MS20,52.5
MS16,23.0
MS22,27.7
MS17,28.6
MS19,29.3
MS18,24.5
MS10,16.6
MS11,34.1
MS13,10.1
MS14,17.0
MS15,0.5
MS12,37.1
MS09,27.9
MS06,19.8
MS07,14.6
MS04,28.1
MS05,27.0
MS03,21.9
MS08,22.2
MS02,20.2
MS01,17.8
MS31,45.6
MS30,47.2
MS29,62.5
MS28,51.2
MS27,5.3
MS23,18.4
MS24,25.1
MS25,31.2
MS26,31.9
KS54,17.8
KS59,22.7
KS90,18.4
KS91,16.0
KS52,22.2
KS45,16.0
KS53,19.7
KS47,22.2
KS49,29.2
KS46,28.7
KS48,19.3
KS44,17.5
KS24,13.1
KS25,14.5
KS26,22.7
KS23,8.4
FS89,30.3
FS87,22.3
FS84,47.1
FS88,41.2
FS86,33.6
FS82,32.7
FS83,30.7
FS85,32.6
FS77,30.8
FS76,32.8
FS78,38.2
FS80,37.9
FS81,23.8
FS79,41.5
FS11,12.5
AA02,14.6
AA11,14.8
AA12,8.0
AA04,17.6
AA03,12.9
EA04,20.3
EA03,26.0
EA01,19.1
EA02,16.7
ZA99,10.7
TA04,37.2
TA08,25.5
TA09,11.2
TA10,40.2
TA05,41.9
TA06,34.6
TA02,26.7
TA01,33.6
TA03,47.1
FA09,41.2
FA07,32.4
FA10,12.5
FA08,47.1
FA05,38.7
FA06,23.8
FA04,30.8
FA02,33.2
FA03,32.8
FA01,26.9
KA04,17.5
KA05,17.7
KA01,15.7
KA03,21.4
KA02,20.2
MA02,22.8
MA04,24.6
MA01,22.2
MA05,46.1
MA03,33.1
NA73,37.3
NA74,47.2
NA71,15.7
NA68,40.0
NA70,37.1
NA72,24.6
NA67,38.5
NA69,25.6
NA60,29.5
NA66,41.1
NA63,33.4
NA61,29.4
NA62,26.2
NA64,47.6
NA65,32.1
DY24,33.6
DY25,33.3
DY27,36.8
DY22,36.5
DY26,33.6
DY21,46.1
DY23,29.5
DY05,16.7
DY01,13.3
DY02,15.8
DY04,26.0
DY03,19.1
DY06,20.3
DY20,22.8
DY14,17.5
DY18,24.6
DY17,22.2
DY16,20.2
DY19,33.1
DY15,15.7
DY12,18.2
DY10,44.0
DY11,30.2
DY08,38.7
DY13,25.6
DY09,28.4
DY07,31.4
ZY99,10.7
A01c,6.9
A00e,11.7
A01b,8.5
A00d,6.7
A01a,
A01d,7.2
A02a,11.5
A01f,6.6
A01g,4.6
A01e,5.7
A01h,4.6
A02b,12.3
A00b,10.5
A00a,8.2
A00c,10.7
A09f,28.9
A09h,25.0
A09d,25.8
A09c,22.7
A09e,16.7
A09i,19.3
B10b,0.0
B10a,20.0
B10e,0.0
B10d,10.5
B10h,0.0
B10f,8.3
B10g,28.6
B10c,6.3
A03a,15.0
A02d,10.4
A03c,15.1
A03b,9.9
A02c,12.6
A03d,14.2
A03f,3.7
A03e,5.2
A04a,10.8
A04b,16.4
A03g,11.9
A04c,14.0
A04f,14.1
A04h,13.3
A04i,14.0
A04e,16.5
A04g,13.6
A04d,13.7
A05b,13.5
A05f,8.4
A05c,18.4
A05d,20.0
A05g,10.0
A05a,25.1
A06i,8.2
A06k,17.1
A07a,6.7
A06l,17.0
A07b,13.5
A06j,7.4
A06g,13.4
A06e,5.0
A06a,12.8
A06f,13.2
A06d,13.3
A06h,10.9
A06c,15.1
A07h,15.9
A07f,18.6
A07d,11.4
A07g,14.3
A07c,6.1
A07e,13.3
A08d,15.5
A09b,19.6
A08a,11.7
A08e,15.9
A08b,13.8
A09a,16.7
E13a,25.1
E12a,1.2
E12b,15.7
E13b,22.0
E13g,0.0
E13c,19.9
E13h,33.3
E13f,28.0
E13e,23.0
E13d,17.3
E14b,17.6
E14e,15.8
E14a,16.8
E14d,15.3
E14c,22.8
E14f,26.2
E15c,35.7
E15a,47.5
E15d,21.2
E16b,12.1
E15b,27.9
E16a,17.0
E18a,16.1
E17a,15.9
E16c,20.1
E18b,14.1
E19a,11.9
E20a,18.2
E19c,14.3
E19b,20.2
E20c,16.9
E20b,20.0
E21b,18.8
E22a,20.5
E21a,15.8
E22b,22.8
E36a,13.2
E37c,32.0
E37a,15.9
E36b,1.5
E37e,27.6
E37d,19.3
E38c,19.3
E37g,25.8
E39a,24.6
E37f,22.0
E38d,22.0
E40a,12.7
E39c,30.5
E39b,
E39d,43.7
E40c,21.8
E40b,20.8
E41d,60.0
E41c,18.0
E41a,16.6
E41b,18.9
E75a,27.8
E75b,19.2
E75d,33.4
E75c,30.6
E43b,18.0
E43a,19.7
E42a,23.3
E42b,20.5
E42c,16.6
E42d,16.0
F11a,10.5
F11c,
F11h,0.0
F11d,0.0
F76a,30.2
F11j,0.0
F11f,4.5
F11e,40.0
F77d,43.7
F77c,33.0
F77b,25.2
F76b,38.2
F77e,
F77a,18.4
F78c,32.3
F77f,37.6
F78b,35.1
F78e,33.8
F78a,43.5
F78d,40.1
F79b,41.7
F80a,0.0
F79a,26.7
F80c,26.3
F80b,38.7
F81d,20.9
F81a,28.2
F81b,23.2
F81c,25.6
F81e,18.9
F82c,32.8
F82b,33.8
F82d,33.9
F83b,0.0
F83a,30.8
F82a,29.7
F84c,53.2
F84a,37.5
F85b,27.5
F85a,35.0
F84b,48.2
F85c,34.2
F86c,10.6
F86b,34.4
F86e,30.5
F86a,45.5
F86d,4.9
F86f,
F87c,21.1
F87b,43.3
F87e,0.0
F87a,14.2
F87d,24.5
Z99z,
T98a,40.5
T97d,42.9
T98b,26.7
T96f,35.0
T97a,32.3
T96e,22.7
T96g,35.7
T97b,43.7
T97c,51.4
N73j,0.0
N73i,0.0
N73h,29.9
N74c,47.4
N74b,100.0
N74a,43.6
N69k,34.1
N70c,39.3
N69l,41.9
N70a,38.7
N69m,13.9
N70b,27.4
N70e,41.4
N71e,8.0
N71f,0.5
N70d,42.7
N71c,26.3
N70f,15.5
N72b,100.0
N72a,21.6
N71h,42.7
N72c,30.8
N71g,16.7
N73e,40.0
N73a,48.1
N73d,38.6
N73b,38.8
N73g,42.1
N73f,37.8
N73c,50.0
T92a,0.0
T92g,46.2
T92b,8.3
T92c,7.1
T92d,0.0
T92f,0.0
T92e,0.0
T93c,36.7
T93a,25.2
T93g,39.7
T93e,25.5
T93b,29.1
T93f,40.6
T93d,47.2
T93i,29.6
T93h,33.1
T93j,51.7
T93k,
T94a,41.2
T94b,40.3
T94f,34.8
T94i,47.1
T94h,53.5
T94g,68.9
T94e,44.3
T94c,31.1
T94d,27.4
T94m,29.8
T94l,
T95a,18.4
T94n,36.5
T94j,18.1
T94k,27.8
T96c,36.8
T96b,46.6
T96a,39.5
T96d,30.5
T95c,27.8
T95b,23.5
M55g,29.6
M55d,31.1
M55e,28.6
M55h,16.6
M55f,24.7
M55i,25.5
M56e,0.0
M56d,15.3
M56b,43.3
M56a,26.6
M56g,
M56f,42.6
M56c,33.3
M58h,15.6
M58f,37.5
M58g,0.0
M58e,30.6
M58b,0.5
M58j,24.3
M58i,18.8
M57a,17.0
M56i,20.8
M56h,9.9
M57c,
M57b,33.3
N60b,30.5
N60a,27.7
N60c,32.3
N61a,23.4
N61b,33.6
N61d,44.4
N61c,28.8
N62a,25.2
N62b,26.6
N64b,44.4
N63a,33.4
N64a,39.7
N64c,49.0
N65a,27.0
N65b,33.4
N65c,26.6
N65d,62.7
N64e,50.0
N64d,48.5
N66f,31.9
N66e,35.4
N66c,51.8
N66d,50.2
N66g,37.6
N66b,39.3
N67b,45.2
N68a,15.8
N68c,32.4
N67a,34.4
N68b,15.7
N68f,50.7
N69j,8.9
N69c,18.0
N68e,45.7
N68d,54.7
N69a,46.7
K91c,18.8
K91b,15.2
K91d,66.7
K90j,25.0
K90i,23.3
K90d,17.2
K90c,20.2
K91a,8.1
K90e,28.9
K54a,18.5
K53a,15.2
K54c,16.8
K54b,16.9
K53b,24.0
K59b,
K59a,22.7
K54e,31.6
K54d,19.1
K90a,16.9
M27a,17.9
M28c,22.1
M27c,16.2
M28b,8.0
M28a,19.3
M28d,19.9
M27b,17.9
M30a,24.5
M29a,22.7
M29b,20.9
M29c,28.1
M30b,29.1
M31a,17.8
M31c,31.2
M31b,19.0
M32a,24.3
