gebiedcode15,waarde
STAD,5.3
A,1.0
B,0.8
E,6.5
F,12.3
Z,
K,1.6
M,5.1
N,6.3
T,1.0
DX01,0.8
DX04,14.6
DX05,5.0
DX03,2.2
DX02,1.1
DX06,18.0
DX07,11.9
DX08,6.4
DX14,7.0
DX09,10.8
DX10,1.2
DX12,2.0
DX13,6.8
DX11,1.2
DX15,1.5
DX20,1.8
DX16,3.5
DX17,5.8
DX19,8.9
DX21,0.8
DX18,4.1
DX22,0.6
ZX99,0.8
A01,1.3
A02,0.5
A00,1.0
A03,1.2
A04,0.8
A06,0.7
A05,0.8
A07,0.9
A09,1.8
A08,0.6
B10,0.8
F77,16.1
F78,21.2
F80,1.7
F79,10.4
F81,9.6
F82,15.9
F83,9.6
F85,9.9
F84,8.6
F86,13.6
F87,7.4
E75,9.7
E43,4.1
F76,18.7
F11,1.0
E16,2.0
E18,3.5
E17,1.3
E19,3.6
E20,1.1
E22,0.7
E21,1.5
E36,5.0
E37,12.8
E39,22.5
E38,10.6
E40,4.1
E42,10.0
E41,10.3
E15,2.1
E14,2.1
E13,2.7
E12,1.1
T97,0.4
T98,0.4
Z99,
N70,10.1
N71,1.4
N73,0.4
N72,0.8
N74,5.6
T94,0.8
T95,0.4
T96,0.7
T93,1.8
T92,2.7
M56,1.0
M57,1.3
M58,1.2
N65,2.9
N66,4.5
N68,12.3
N67,1.7
N69,7.2
N62,0.8
N61,5.1
N64,0.2
N63,1.9
N60,6.0
M29,9.0
M30,8.8
M31,9.5
M32,12.0
M33,2.5
M34,0.5
M50,
M35,3.3
M51,4.5
M55,2.4
K54,1.6
K53,2.4
K90,1.0
K59,0.2
K91,1.5
M28,5.8
M27,1.5
K25,2.3
K26,4.3
K44,1.3
K45,1.8
K46,0.8
K47,0.4
K48,2.4
K49,0.5
K52,0.6
F88,4.2
F89,10.6
K24,2.0
K23,2.4
AS02,1.3
AS01,0.5
AS03,0.8
AS10,0.9
AS08,1.3
AS04,0.5
AS06,0.9
AS07,0.8
AS05,0.7
AS09,1.4
AS17,1.9
AS11,0.9
AS13,2.2
AS14,0.0
AS15,0.6
AS12,1.0
AS16,
AS19,0.5
AS18,0.8
AS20,0.6
ES19,13.6
ES14,0.9
ES18,8.7
ES15,9.9
ES17,21.3
ES13,0.7
ES16,8.8
ES24,10.3
ES20,
ES23,9.7
ES25,10.0
ES26,4.1
ES22,4.1
ES21,24.2
ES61,4.2
ES27,10.5
ES99,0.0
ES05,0.8
ES04,2.1
ES03,2.9
ES01,1.1
ES02,1.8
ES08,1.3
ES10,4.6
ES11,1.1
ES06,0.0
ES12,1.8
ES09,3.5
ES07,2.0
ZS99,0.8
TS13,0.4
TS15,2.7
TS14,0.4
TS12,0.6
TS11,0.4
TS09,0.4
TS10,1.0
TS17,0.0
TS16,0.4
TS18,2.3
TS05,0.3
TS08,1.4
TS03,0.7
TS02,0.3
TS06,2.0
TS07,1.6
TS04,0.9
TS01,1.0
FS80,1.7
FS76,18.7
FS11,1.0
FS81,9.6
FS77,16.1
FS79,10.4
FS78,21.2
FS83,9.6
FS88,4.2
FS85,9.9
FS82,15.9
FS84,8.6
FS87,7.4
FS86,13.6
FS89,10.6
KS44,1.3
KS26,4.3
KS25,2.3
KS23,2.4
KS24,2.0
KS46,0.8
KS47,0.4
KS49,0.5
KS45,1.8
KS52,0.6
KS48,2.4
KS53,2.4
KS59,0.2
KS90,1.0
KS54,1.6
KS91,1.5
MS24,10.6
MS28,3.1
MS25,13.2
MS27,0.5
MS29,1.4
MS26,14.3
MS23,7.6
MS31,4.5
MS30,4.2
MS01,1.5
MS02,5.8
MS05,8.8
MS07,1.9
MS06,3.3
MS08,2.4
MS04,4.7
MS03,9.3
MS10,2.0
MS15,1.3
MS09,2.6
MS11,0.7
MS13,0.9
MS14,1.3
MS12,2.8
MS21,1.4
MS20,1.8
MS16,0.0
MS17,1.4
MS18,1.8
MS22,4.1
MS19,3.7
NS66,4.5
NS67,1.7
NS69,7.2
NS71,1.4
NS65,2.9
NS68,12.3
NS70,10.1
NS72,0.8
NS73,0.4
NS74,5.6
NS60,6.0
NS62,0.8
NS61,5.1
NS64,0.2
NS63,1.9
AA11,0.6
AA12,1.1
AA04,1.3
AA03,1.0
AA02,0.7
EA01,2.2
EA02,2.1
EA04,7.7
EA03,14.6
TA01,0.8
TA03,1.8
TA02,2.3
TA09,2.7
TA05,0.8
TA08,0.4
TA06,0.5
TA10,0.4
TA04,1.4
ZA99,0.8
NA66,4.5
NA63,1.9
NA60,6.0
NA65,2.9
NA62,0.8
NA61,5.1
NA64,0.2
NA73,0.4
NA71,1.4
NA67,1.7
NA70,10.1
NA69,7.2
NA68,12.3
NA72,0.8
NA74,5.6
MA03,2.5
MA04,10.7
MA02,1.5
MA01,6.8
MA05,3.5
KA03,1.2
KA02,1.2
KA01,2.6
KA04,1.2
KA05,0.8
FA01,9.4
FA02,12.0
FA03,18.7
FA06,9.6
FA09,4.2
FA10,1.0
FA04,16.1
FA07,13.6
FA05,19.6
FA08,8.6
DY12,1.9
DY09,11.9
DY10,6.4
DY11,10.8
DY13,0.5
DY07,17.0
DY08,19.6
DY14,1.2
DY17,6.8
DY18,10.7
DY15,2.6
DY20,1.5
DY19,2.5
DY16,1.2
DY01,0.8
DY02,1.1
DY04,14.6
DY06,7.7
DY03,2.2
DY05,2.1
DY26,0.8
DY27,0.6
DY21,3.5
DY23,4.1
DY25,1.8
DY24,8.9
DY22,5.8
ZY99,0.8
A00b,0.6
A00a,0.6
A00c,1.0
A01f,2.6
A01g,0.7
A01e,1.0
A02b,0.9
A01h,0.0
A02a,0.3
A01c,1.4
A00e,1.0
A01b,0.6
A00d,2.3
A01d,1.0
A01a,
A08d,0.5
A08a,0.4
A08b,1.0
A08e,1.0
A09b,1.6
A09a,0.0
A07g,1.0
A07e,0.9
A07c,1.2
A07f,1.1
A07h,0.6
A07d,0.3
A06g,1.0
A06h,0.8
A06c,0.9
A06d,1.2
A06e,1.1
A06a,0.7
A06f,0.0
A07a,0.8
A06k,0.3
A07b,0.0
A06j,0.4
A06l,0.4
A06i,1.0
A05g,0.0
A05a,1.3
A05c,1.1
A05b,0.4
A05f,0.3
A05d,0.5
A04i,0.5
A04e,0.3
A04f,0.7
A04d,0.7
A04h,0.9
A04g,1.0
A04b,0.5
A04c,1.8
A04a,0.0
A03e,2.2
A03g,1.2
A03f,2.3
A03c,0.6
A02d,0.4
A03b,2.8
A02c,0.4
A03a,1.5
A03d,0.9
B10e,0.0
B10c,0.0
B10f,0.0
B10d,5.4
B10h,0.0
B10g,0.0
B10b,0.0
B10a,0.0
A09d,3.9
A09h,1.5
A09c,2.4
A09f,2.6
A09e,1.3
A09i,0.5
F87c,8.6
F87e,0.0
F87a,2.6
F87b,8.6
F86f,
F87d,9.3
F86c,1.0
F86b,9.3
F85c,14.8
F86d,0.1
F86e,19.4
F86a,19.1
F84b,7.4
F84c,11.3
F84a,5.7
F85b,5.2
F85a,7.7
F82c,19.2
F82a,16.0
F82d,13.6
F83b,0.0
F82b,16.4
F83a,9.6
F81d,11.1
F81c,12.0
F81a,11.6
F81e,4.8
F81b,9.3
F79b,10.5
F80a,0.0
F80c,0.0
F79a,0.0
F80b,1.8
F78d,22.3
F78c,23.4
F78e,22.1
F78b,16.1
F77f,18.3
F78a,20.3
F77d,22.7
F77a,12.1
F76b,19.3
F77c,16.2
F77e,
F77b,9.2
F11j,0.0
F11h,0.0
F11f,0.0
F76a,18.4
F11d,6.3
F11e,0.0
F11a,0.0
F11c,
E43a,4.4
E42c,6.0
E42b,8.8
E43b,3.7
E42d,7.6
E75a,6.2
E75b,4.0
E75d,14.0
E75c,14.9
E41d,16.7
E41c,8.7
E41a,7.6
E42a,14.8
E41b,13.5
E39b,
E40a,1.6
E39c,20.8
E39d,26.2
E40c,5.9
E40b,4.3
E38d,12.0
E38c,10.0
E37g,15.4
E39a,15.5
E37f,8.8
E37c,21.3
E37a,7.6
E36b,10.5
E37e,6.0
E36a,0.9
E37d,6.5
E21b,0.6
E22a,0.7
E21a,1.8
E22b,0.7
E20a,0.8
E19b,5.1
E20c,0.9
E19c,3.9
E19a,1.2
E20b,1.6
E16c,1.5
E18a,2.5
E17a,1.3
E18b,4.3
E15c,0.0
E15a,0.8
E15b,0.0
E15d,4.2
E16b,2.2
