gebiedcode15,waarde
STAD,5.0
A,21.0
F,2.0
E,5.0
B,44.0
Z,
T,2.0
N,2.0
M,3.0
K,6.0
DX05,6.0
DX04,3.0
DX07,2.0
DX03,4.0
DX02,17.0
DX01,26.0
DX06,2.0
DX22,1.0
DX21,1.0
DX17,1.0
DX19,1.0
DX15,3.0
DX18,4.0
DX20,4.0
DX16,2.0
DX12,7.0
DX14,3.0
DX09,2.0
DX11,4.0
DX08,1.0
DX10,5.0
DX13,5.0
ZX99,44.0
A00,81.0
A01,83.0
A04,13.0
A03,52.0
A02,19.0
A08,7.0
A09,3.0
A07,33.0
A05,10.0
A06,11.0
B10,44.0
E13,4.0
E12,1.0
E19,4.0
E20,8.0
E17,10.0
E18,10.0
E16,5.0
E15,5.0
E14,5.0
F11,136.0
F79,1.0
F80,6.0
F78,1.0
F77,2.0
F76,2.0
E75,4.0
E43,2.0
E42,6.0
E41,4.0
E40,3.0
E39,1.0
E38,3.0
E36,33.0
E37,3.0
E21,7.0
E22,21.0
Z99,
T98,0.0
T97,1.0
T96,1.0
T95,2.0
T94,1.0
T93,2.0
K23,40.0
K45,6.0
K46,8.0
K44,4.0
K25,7.0
K26,3.0
K24,15.0
F89,3.0
F88,1.0
F87,3.0
F86,1.0
F85,1.0
F84,1.0
F82,1.0
F83,2.0
F81,3.0
M27,7.0
M33,3.0
M32,2.0
M31,3.0
M30,3.0
M29,7.0
M28,4.0
K91,2.0
K90,3.0
K59,3.0
K54,3.0
K53,3.0
K52,4.0
K49,3.0
K48,3.0
K47,9.0
N60,4.0
N61,3.0
N62,2.0
M58,8.0
M57,1.0
M56,2.0
M55,2.0
M51,2.0
M50,
M35,1.0
M34,4.0
T92,197.0
N74,1.0
N73,3.0
N72,68.0
N71,18.0
N70,1.0
N69,2.0
N68,1.0
N67,4.0
N66,1.0
N65,1.0
N64,4.0
N63,1.0
AS05,11.0
AS03,19.0
AS09,61.0
AS07,88.0
AS04,19.0
AS08,81.0
AS06,11.0
AS02,4.0
AS01,3.0
ES01,1.0
ES03,4.0
ES02,5.0
ES04,5.0
ES27,61.0
ES61,0.0
ES26,2.0
ES99,227.0
