gebiedcode15,waarde
STAD,33.0
E,37.0
B,56.0
A,19.0
T,48.0
Z,
N,50.0
M,34.0
K,26.0
F,48.0
B10,
E12,76.0
E13,53.0
E18,60.0
E19,59.0
E17,45.0
E16,24.0
E15,28.0
E14,37.0
A00,11.0
A01,7.0
A04,25.0
A03,5.0
A02,4.0
A09,44.0
A08,21.0
A07,7.0
A06,15.0
A05,28.0
Z99,
T98,3.0
T97,49.0
T96,56.0
T95,25.0
T93,54.0
T94,43.0
T92,
N74,
N73,4.0
N70,46.0
N71,49.0
N72,5.0
N69,46.0
N68,64.0
N67,14.0
N66,52.0
N65,62.0
N63,80.0
N62,36.0
N64,2.0
F79,45.0
F78,69.0
F76,59.0
F77,70.0
F11,100.0
E75,
E43,11.0
E42,43.0
E40,
E41,57.0
E39,43.0
E38,29.0
E22,25.0
E37,39.0
E36,31.0
E20,39.0
E21,15.0
K23,
K45,21.0
K26,41.0
K44,17.0
K25,32.0
K24,19.0
F89,
F88,43.0
F87,34.0
F85,39.0
F86,50.0
F84,33.0
F83,18.0
F82,43.0
F81,50.0
F80,2.0
K91,52.0
M28,61.0
M27,40.0
M29,36.0
M32,45.0
M33,45.0
M30,40.0
M31,35.0
K90,29.0
K59,2.0
K54,40.0
K53,20.0
K52,22.0
K49,5.0
K48,42.0
K47,7.0
K46,14.0
N60,35.0
N61,67.0
M58,78.0
M57,57.0
M56,8.0
M55,20.0
M51,2.0
M50,
M35,4.0
M34,
