gebiedcode15,waarde
STAD,234800.0
A,312164.0
B,191007.0
E,215591.0
F,185476.0
K,310739.0
M,239417.0
N,179149.0
Z,
T,144742.0
DX22,154618.0
DX21,148048.0
DX19,183327.0
DX20,126620.0
DX10,411914.0
DX06,154057.0
DX05,233000.0
DX07,173496.0
DX09,185189.0
DX08,255033.0
DX11,263045.0
DX13,220987.0
DX17,180830.0
DX14,238686.0
DX16,288691.0
DX15,233680.0
DX18,173310.0
DX12,249478.0
DX03,212101.0
DX02,313776.0
DX04,175522.0
DX01,310800.0
ZX99,191007.0
A07,344649.0
A08,307440.0
A09,253990.0
A01,267895.0
A03,469946.0
A02,490251.0
A04,295239.0
A05,304924.0
A06,270390.0
A00,263417.0
E18,217788.0
E17,265643.0
E16,220547.0
E20,308715.0
E19,211354.0
E21,270056.0
E22,564043.0
E36,306402.0
E37,176998.0
E14,209792.0
E15,259527.0
E13,207439.0
E12,164263.0
B10,
M35,310839.0
M50,
M51,272471.0
M55,219418.0
M56,273773.0
M57,184462.0
M58,155634.0
N62,173666.0
N63,162989.0
N64,384397.0
N65,170345.0
N61,158072.0
N60,150516.0
K48,271540.0
K49,664230.0
K52,304350.0
K53,239304.0
K59,509680.0
K54,230354.0
K90,254225.0
K91,238302.0
M31,186301.0
M30,207479.0
M32,192071.0
M33,301131.0
M34,104568.0
M29,209223.0
M27,271297.0
M28,216927.0
F83,154635.0
F84,260400.0
F86,176233.0
F85,182114.0
F87,200633.0
F88,249379.0
F89,182114.0
K26,225636.0
K44,234229.0
K45,240864.0
K46,590989.0
K47,591914.0
K24,245656.0
K25,232579.0
K23,
E38,172560.0
E39,173068.0
E41,174317.0
E40,209517.0
E42,176288.0
E43,218186.0
E75,209517.0
F78,165329.0
F80,374106.0
F79,230608.0
F81,166038.0
F82,180221.0
F77,141387.0
F76,143152.0
F11,
T94,148048.0
T95,139614.0
T96,146686.0
T97,163287.0
T98,227969.0
N66,190844.0
N68,160708.0
N67,264759.0
N70,166502.0
N69,170804.0
N72,217582.0
N71,222297.0
N73,428832.0
N74,
T93,126373.0
T92,
Z99,
ZY99,191007.0
DY13,593067.0
DY15,236724.0
DY11,185189.0
DY14,263045.0
DY17,220987.0
DY12,250528.0
DY16,266866.0
DY20,233680.0
DY18,188820.0
DY22,180830.0
DY21,288691.0
DY24,183327.0
DY19,301131.0
DY23,173310.0
DY09,173496.0
DY06,195583.0
DY08,174435.0
DY04,175522.0
DY07,142005.0
DY10,255033.0
DY05,269331.0
DY02,313776.0
DY01,310800.0
DY03,212101.0
DY27,154618.0
DY25,126620.0
DY26,148048.0
