gebiedcode15,waarde
STAD,1.77
A,1.62
B,1.28
E,1.87
F,1.83
K,1.92
M,1.64
N,1.73
Z,
T,1.63
A07,1.71
A08,1.51
A09,1.51
A00,1.49
A01,1.71
A02,2.01
A03,1.64
A05,1.53
A04,1.62
A06,1.87
E17,1.56
E16,1.94
E18,2.0
E19,1.48
E21,1.67
E20,1.7
E37,2.08
E36,2.18
E22,1.87
E14,1.78
E15,1.43
E13,1.8
E12,1.25
B10,
M35,1.13
M50,
M51,1.26
M55,1.98
M56,1.92
M57,2.35
M58,1.48
N63,1.86
N62,1.94
N65,1.56
N64,2.29
N60,2.04
N61,1.65
K48,1.86
K49,2.23
K52,2.28
K53,2.14
K54,2.09
K59,2.16
K90,1.91
K91,1.69
M31,1.68
M30,1.84
M32,1.48
M33,1.41
M34,0.99
M29,1.52
M27,1.85
M28,1.6
F84,1.37
F83,1.93
F86,1.86
F85,1.97
F87,1.89
F88,1.28
F89,
K44,2.28
K26,2.13
K45,2.03
K46,2.21
K47,1.92
K24,1.6
K25,1.56
K23,
E38,2.09
E39,1.98
E40,
E41,1.98
E42,2.12
E75,
E43,1.9
F78,1.88
F79,1.45
F80,1.29
F81,1.92
F82,1.56
F76,2.03
F77,2.07
F11,1.28
T94,1.74
T95,1.6
T96,1.57
T97,1.51
T98,1.65
N66,1.66
N67,1.72
N68,1.74
N69,1.91
N70,1.65
N71,1.01
N72,1.67
N73,1.82
N74,
T93,1.64
T92,1.34
Z99,
