gebiedcode15,waarde
STAD,10.7
A,7.9
B,3.3
E,8.9
N,12.1
M,9.1
K,7.9
F,9.5
T,24.3
Z,
DX02,8.3
DX04,9.3
DX01,7.6
DX03,9.6
DX17,10.2
DX15,6.7
DX13,9.5
DX18,11.3
DX12,7.7
DX14,9.7
DX16,11.0
DX05,8.3
DX10,6.5
DX09,10.1
DX07,9.8
DX11,12.4
DX08,8.2
DX06,9.7
DX22,18.2
DX20,30.1
DX21,27.1
DX19,15.3
ZX99,3.3
A09,9.9
A08,8.1
A07,7.1
A00,10.6
A06,6.5
A05,8.1
A04,7.9
A02,6.0
A03,6.9
A01,11.0
B10,3.3
E12,8.7
E13,10.3
E15,9.1
E14,9.9
E36,9.2
E37,9.9
E21,6.2
E22,7.6
E20,6.0
E19,10.2
E16,8.6
E17,6.2
E18,8.5
F11,12.0
F76,11.7
F77,9.8
F82,10.3
F81,9.2
F80,2.5
F79,7.6
F78,8.7
E75,8.7
E43,7.4
E42,10.2
E41,11.2
E40,7.3
E39,9.1
E38,7.5
K23,35.2
K25,7.8
K24,8.6
K47,5.5
K46,5.9
K45,6.4
K26,10.6
K44,6.2
F89,10.1
F88,7.7
F87,11.7
F85,8.5
F86,10.2
F84,8.7
F83,11.4
M27,7.0
M28,10.4
M29,9.6
M34,8.4
M33,7.5
M32,11.5
M30,9.8
M31,11.4
K91,12.0
K90,11.1
K59,8.3
K53,6.1
K54,8.0
K52,5.2
K49,6.2
K48,8.3
N60,13.0
N61,15.4
N65,7.5
N64,2.7
N63,5.8
N62,5.1
M58,8.5
M57,7.9
M56,5.8
M55,7.2
M51,12.0
M50,
M35,10.7
Z99,
T92,30.0
T93,30.1
N74,8.0
N73,2.3
N72,9.5
N71,8.4
N70,14.7
N69,17.4
N68,16.7
N67,4.6
N66,8.2
T98,1.7
T97,18.9
T95,13.0
T96,19.9
T94,27.1
TS10,25.3
TS09,26.4
TS12,18.8
TS06,23.8
TS07,23.7
TS11,7.9
TS08,39.2
TS03,39.0
TS01,26.2
TS05,20.5
TS02,20.9
TS04,16.0
TS14,13.0
TS13,18.9
TS15,30.0
TS16,1.7
TS18,28.0
TS17,33.3
NS65,7.5
NS64,2.7
NS63,5.8
NS68,16.7
NS66,8.2
NS62,5.1
NS67,4.6
NS61,15.4
NS60,13.0
NS73,2.3
NS74,8.0
NS70,14.7
NS69,17.4
NS71,8.4
NS72,9.5
ZS99,3.3
AS19,6.4
AS20,8.8
AS18,7.4
AS17,10.3
AS15,6.9
AS16,
AS09,7.4
AS08,11.0
AS13,14.1
AS11,6.3
AS12,5.6
AS10,9.6
AS14,11.9
AS07,11.6
AS06,6.5
AS04,6.0
AS05,6.5
AS02,10.1
AS03,7.7
AS01,7.3
MS29,7.3
MS28,10.7
MS31,12.0
MS30,12.0
MS27,8.4
MS20,5.8
MS23,10.7
MS21,6.5
MS22,10.3
MS24,11.0
MS25,12.9
MS26,12.3
MS15,7.6
MS19,9.2
MS18,6.1
MS17,6.1
MS13,12.4
MS16,5.9
MS14,7.9
MS11,4.3
MS09,6.2
MS07,6.9
MS08,5.7
MS10,8.2
MS06,11.8
MS12,5.7
MS04,8.2
MS05,9.8
MS01,7.0
MS03,9.7
MS02,10.4
KS24,8.6
KS23,35.2
KS54,8.0
KS52,5.2
KS90,11.1
KS91,12.0
KS53,6.1
KS59,8.3
KS49,6.2
KS48,8.3
KS44,6.2
KS25,7.8
KS46,5.9
KS45,6.4
KS47,5.5
KS26,10.6
FS76,11.7
FS78,8.7
FS11,12.0
FS77,9.8
FS87,11.7
FS88,7.7
FS86,10.2
FS89,10.1
FS81,9.2
FS85,8.5
FS84,8.7
FS80,2.5
FS83,11.4
FS79,7.6
FS82,10.3
ES02,9.4
ES01,8.7
ES15,9.2
ES16,12.6
ES12,6.3
ES10,11.1
ES14,6.9
ES13,6.8
ES11,6.0
ES04,9.9
ES09,8.5
ES03,10.5
ES05,8.3
ES08,6.9
ES06,5.9
ES07,8.6
ES26,7.4
ES99,7.7
ES61,10.6
ES24,11.2
ES27,11.7
ES25,10.2
ES21,8.8
ES22,7.3
ES19,8.5
ES17,9.5
ES20,9.3
ES18,7.7
ES23,8.7
ZA99,3.3
NA71,8.4
NA72,9.5
NA70,14.7
NA74,8.0
NA73,2.3
NA62,5.1
NA61,15.4
NA60,13.0
NA63,5.8
NA64,2.7
NA67,4.6
NA65,7.5
NA66,8.2
NA69,17.4
NA68,16.7
TA10,1.7
TA09,30.0
TA02,28.0
TA03,23.0
TA01,27.1
TA08,26.4
TA06,18.1
TA04,39.2
TA05,20.9
EA01,9.6
EA02,7.5
EA04,9.1
EA03,9.3
FA08,8.7
FA09,7.7
FA10,12.0
FA03,11.7
FA02,9.5
FA07,10.3
FA05,8.5
FA04,9.8
FA01,10.8
FA06,9.2
KA02,6.2
KA03,6.5
KA05,20.5
KA01,8.8
KA04,11.4
MA05,11.0
MA04,11.5
MA01,9.5
MA02,6.7
MA03,7.5
AA11,7.3
AA02,6.8
AA04,9.2
AA03,7.0
AA12,10.8
ZY99,3.3
DY27,18.2
DY26,27.1
DY25,30.1
DY02,8.3
DY01,7.6
DY03,9.6
DY04,9.3
DY05,7.5
DY06,9.1
DY08,8.5
DY07,10.5
DY09,9.8
DY10,8.2
DY21,11.0
DY18,11.5
DY22,10.2
DY23,11.3
DY20,6.7
DY19,7.5
DY24,15.3
DY13,5.8
DY16,6.2
DY15,8.8
DY14,12.4
DY17,9.5
DY11,10.1
DY12,7.1
A00b,8.7
A00c,13.0
A00e,7.1
A00a,11.3
A01a,0.0
A00d,7.9
A01c,16.1
A01g,8.5
A01b,7.1
A01d,9.8
A01h,10.6
A01e,13.0
A01f,11.5
A03g,4.3
A03b,9.1
A03f,15.7
A03d,6.2
A03e,12.8
A03c,4.5
A02b,5.9
A02d,5.9
A03a,6.8
A02c,6.8
A02a,5.3
A05c,8.1
A05b,6.8
A05a,10.1
A04h,7.6
A05d,7.6
A04i,8.7
A04e,6.9
A04c,8.4
A04b,4.6
A04d,7.5
A04g,6.3
A04f,12.0
A04a,11.9
A06d,7.7
A05f,4.6
A06a,6.9
A06c,6.4
A05g,10.2
A06e,9.2
A06j,9.0
A06g,6.5
A06i,4.1
A06h,6.1
A06k,4.7
A06f,7.2
A06l,6.2
A07a,8.2
A07c,10.1
A07b,8.9
A07f,6.9
A07d,9.7
A07e,6.0
A07h,7.2
A08a,8.2
A08e,8.7
A08b,9.7
A07g,5.7
A08d,6.4
A09a,7.1
A09b,9.9
A09e,12.0
A09c,11.4
A09f,10.1
A09d,11.5
Z99z,
T97c,11.7
T97a,24.3
T97d,15.4
T97b,31.5
T98b,0.0
T98a,1.7
T94a,19.9
T94b,22.5
T94d,21.6
T94e,19.1
T94c,38.9
T94f,42.7
T94i,20.1
T94j,11.0
T94g,31.9
T94h,23.5
T94l,
T94k,20.0
T94m,39.5
T96c,7.9
T96e,22.2
T96g,15.7
T96f,18.1
T96b,26.3
T96d,21.0
T95c,2.9
T95a,13.2
T94n,49.0
T95b,2.9
T96a,23.8
N74b,0.0
N74a,0.0
N74c,8.6
T92a,33.3
T92c,9.1
T92b,54.3
T92d,0.0
T92e,0.0
T92g,14.2
T93d,23.8
T93c,20.5
T93b,29.7
T92f,30.8
T93a,26.9
T93h,37.8
T93j,23.7
T93f,32.3
T93i,13.5
T93k,
T93e,26.4
T93g,44.8
N66c,5.2
N65d,12.9
N66b,4.1
N65b,4.5
N66d,4.4
N65c,9.4
N66e,5.0
N67a,4.4
N66f,14.1
N66g,6.5
N67b,4.9
N69j,11.5
N69c,11.6
N69l,22.9
N69a,8.5
N69k,23.9
N69m,10.5
N68e,25.1
N68f,13.5
N68b,8.7
N68d,17.1
N68a,12.7
N68c,15.6
N71h,9.5
N71g,8.7
N71e,23.5
N72a,11.2
N71c,3.8
N71f,7.7
N70f,12.1
N70c,13.8
N70e,4.9
N70d,13.2
N70b,12.7
N70a,20.0
N73b,1.7
N73a,1.5
N72c,0.0
N73d,1.8
N73c,0.0
N72b,0.0
N73i,6.3
N73f,2.4
N73h,3.0
N73e,0.0
N73g,3.0
N73j,0.0
B10c,4.3
B10a,0.0
B10d,0.0
B10e,
B10b,33.3
B10g,0.0
B10h,0.0
B10f,3.8
E12a,12.0
E12b,4.1
E13d,8.0
E13e,11.1
E13a,9.4
E13f,10.7
E13c,8.0
E13b,12.6
E14b,9.0
E13g,
E14a,8.5
E14d,9.2
E13h,7.7
E14c,13.0
E14e,11.1
E15b,3.4
E15d,10.6
E15a,8.3
E14f,9.3
E15c,9.1
E16b,10.0
E16c,7.0
E16a,7.9
E17a,6.2
E19b,11.5
E18a,9.4
E19a,8.4
E18b,7.7
E19c,10.4
E21a,6.3
E20a,5.2
E20b,6.3
E21b,6.1
E20c,6.8
E36b,11.7
E36a,6.9
E22b,7.2
E37a,5.3
E22a,8.0
A09i,7.4
A09h,6.8
M58i,3.6
M58h,12.0
M58j,2.7
M58b,7.6
M57c,
M57b,50.0
M58e,0.0
M58f,7.5
M58g,7.8
M56b,4.1
M56d,1.0
M55h,8.2
M56a,4.5
M55i,11.6
M56c,4.4
M56h,12.4
M56f,6.6
M56e,0.0
M57a,7.9
M56i,8.9
M56g,
M34e,0.0
M35a,9.7
M34g,
M34f,0.0
M35c,7.3
M35b,11.2
M35e,11.8
M50d,
M50a,
M35f,12.1
M50b,
M50c,
M50e,
M50g,
M51a,8.3
M51c,14.7
M50f,
M51b,11.1
M55g,5.7
M55d,5.4
M55e,11.8
M55c,5.7
M55b,9.0
M55f,7.2
N60a,14.8
N61b,15.7
N61a,16.3
N60c,8.6
N60b,13.6
N61c,13.2
N62a,5.3
N61d,1.9
N62b,5.0
N63a,5.8
N64d,0.6
N64e,20.0
N65a,5.4
N64c,3.5
N64a,0.6
N64b,2.3
K91c,11.7
K90i,6.5
K91d,50.0
