gebiedcode15,waarde
STAD,100.0
K,77.0
F,106.0
E,85.0
B,
A,124.0
Z,
T,116.0
N,101.0
M,90.0
DX06,124.0
DX04,107.0
DX08,70.0
DX07,115.0
DX10,90.0
DX05,81.0
DX09,105.0
DX03,75.0
DX02,120.0
DX01,126.0
DX22,115.0
DX21,107.0
DX19,119.0
DX18,101.0
DX20,123.0
DX13,106.0
DX15,87.0
DX14,86.0
DX12,71.0
DX17,86.0
DX16,76.0
DX11,72.0
ZX99,
E12,79.0
E14,67.0
E13,79.0
B10,
A09,84.0
A01,167.0
A00,152.0
A08,95.0
A07,170.0
A06,84.0
A05,73.0
A04,98.0
A02,92.0
A03,151.0
F11,
E43,67.0
E75,88.0
E42,85.0
E41,75.0
E40,81.0
E38,88.0
E39,98.0
E37,117.0
E22,91.0
E36,
E20,91.0
E21,53.0
E19,74.0
E18,86.0
E16,82.0
E17,109.0
E15,82.0
K23,
K24,75.0
F89,113.0
F88,66.0
F86,111.0
F85,93.0
F87,98.0
F83,97.0
F84,74.0
F82,95.0
F80,74.0
F81,139.0
F79,101.0
F78,129.0
F77,117.0
F76,137.0
Z99,
M27,109.0
M28,104.0
K91,88.0
K59,69.0
K90,69.0
K54,51.0
K53,117.0
K52,78.0
K49,67.0
K48,90.0
K47,93.0
K46,55.0
K45,83.0
K44,101.0
K26,59.0
K25,69.0
M58,101.0
M57,67.0
M56,74.0
M55,101.0
M51,69.0
M50,
M35,79.0
M34,79.0
M32,96.0
M33,69.0
M30,89.0
M31,102.0
M29,117.0
N60,112.0
N61,114.0
N63,64.0
N62,64.0
N68,123.0
N67,75.0
N66,75.0
N65,107.0
N64,64.0
N74,
N73,81.0
N72,
N71,81.0
N70,81.0
N69,120.0
T92,
T93,123.0
T95,91.0
T94,107.0
T98,25.0
T97,102.0
T96,136.0
