gebiedcode15,waarde
STAD,4994.0
K,9155.0
F,4327.0
E,15211.0
B,10.0
A,13761.0
Z,
T,4226.0
N,2186.0
M,7283.0
DX09,7041.0
DX05,23346.0
DX10,11003.0
DX04,10413.0
DX08,4601.0
DX06,3135.0
DX07,4431.0
DX03,12151.0
DX02,12066.0
DX01,15965.0
DX19,1006.0
DX22,4097.0
DX21,7201.0
DX18,4083.0
DX20,2965.0
DX16,4951.0
DX14,14250.0
DX12,17419.0
DX17,5171.0
DX11,3346.0
DX15,3822.0
DX13,16510.0
ZX99,10.0
E12,5168.0
E14,27779.0
E13,8031.0
B10,10.0
A09,12832.0
A00,12177.0
A01,7367.0
A08,10058.0
A07,13138.0
A06,23375.0
A05,17211.0
A04,13435.0
A03,10362.0
A02,14287.0
F11,14.0
E43,21228.0
E75,24936.0
E42,26100.0
E40,24111.0
E41,23272.0
E38,16383.0
E39,12986.0
E37,18196.0
E36,419.0
E22,8627.0
E21,26714.0
E20,22809.0
E18,24832.0
E19,28524.0
E16,23269.0
E17,21186.0
E15,4873.0
K23,618.0
K24,23773.0
F89,7756.0
F88,2971.0
F87,5282.0
F85,7194.0
F86,8016.0
F84,9732.0
F83,9639.0
F82,15138.0
F81,10036.0
F80,158.0
F79,1008.0
F78,11395.0
F76,9967.0
F77,7529.0
Z99,
M28,14994.0
M27,13861.0
K91,5020.0
K90,4427.0
K59,3366.0
K54,9438.0
K53,20042.0
K52,14867.0
K49,9823.0
K48,12311.0
K47,9760.0
K46,8903.0
K45,13107.0
K26,23534.0
K44,13575.0
K25,24014.0
M58,1033.0
M57,2914.0
M56,5473.0
M55,6522.0
M51,10087.0
M50,
M35,12823.0
M34,412.0
M33,12239.0
M32,10920.0
M30,24635.0
M31,26953.0
M29,15159.0
N60,8203.0
N61,6971.0
N63,11006.0
N62,8137.0
N68,9325.0
N67,2170.0
N66,3538.0
N64,4797.0
N65,6884.0
N74,2972.0
N72,209.0
N73,89.0
N71,602.0
N70,8388.0
N69,7410.0
T92,57.0
T93,7828.0
T95,1374.0
T96,7054.0
T94,7201.0
T98,837.0
T97,6317.0
FS85,7194.0
FS89,7756.0
FS87,5282.0
FS88,2971.0
FS86,8016.0
FS81,10036.0
FS82,15138.0
FS80,158.0
FS79,1008.0
FS84,9732.0
FS78,11395.0
FS83,9639.0
FS77,7529.0
FS76,9967.0
FS11,14.0
ES01,5168.0
ES08,23938.0
ES07,23269.0
ES03,21865.0
ES05,23200.0
ES06,355.0
ES02,22078.0
ES04,27779.0
ES23,24936.0
ES25,26100.0
ES99,33.0
ES27,153.0
ES24,23272.0
ES26,21228.0
ES61,16667.0
ES16,21926.0
ES19,16952.0
ES18,16039.0
ES20,8481.0
ES21,14876.0
ES17,16453.0
ES22,24111.0
ES13,12719.0
ES11,22809.0
ES10,26944.0
ES12,29342.0
ES09,24832.0
ES14,767.0
ES15,17046.0
AS12,10840.0
AS08,9763.0
AS06,19281.0
AS10,11413.0
AS11,13768.0
AS09,7250.0
AS07,15462.0
AS05,25815.0
AS02,12350.0
AS04,14287.0
AS03,19819.0
AS01,18565.0
AS20,13328.0
AS13,8350.0
AS17,11828.0
AS15,21461.0
AS19,6226.0
AS14,1708.0
AS18,15892.0
AS16,
ZS99,10.0
TS01,9078.0
TS03,10281.0
TS02,6361.0
TS18,11238.0
TS17,27.0
TS12,6821.0
TS11,3929.0
TS13,6317.0
TS15,59.0
TS14,1374.0
TS16,837.0
TS05,5344.0
TS10,10294.0
TS04,4700.0
TS07,1365.0
TS06,17414.0
TS08,9362.0
TS09,3200.0
NS73,89.0
NS74,2972.0
NS70,8388.0
NS71,602.0
NS72,209.0
NS68,9325.0
NS69,7410.0
NS62,8137.0
NS65,6884.0
NS67,2170.0
NS64,4797.0
NS61,6971.0
NS63,11006.0
NS66,3538.0
NS60,8203.0
MS31,7346.0
MS29,10927.0
MS28,10992.0
MS30,15263.0
MS27,412.0
MS26,27486.0
MS23,27558.0
MS25,25781.0
MS21,23750.0
MS19,7571.0
MS22,7568.0
MS20,20600.0
MS24,7985.0
MS12,2066.0
MS14,2914.0
MS18,18631.0
MS16,414.0
MS15,2830.0
MS17,18924.0
MS13,2362.0
MS08,4511.0
MS07,6822.0
MS11,14272.0
MS09,6828.0
MS10,6656.0
MS06,6732.0
MS05,24635.0
MS02,14994.0
MS01,13861.0
MS03,21181.0
MS04,5032.0
KS91,5020.0
KS90,4427.0
KS49,9823.0
KS59,3366.0
KS52,14867.0
KS53,20042.0
KS48,12311.0
KS54,9438.0
KS23,618.0
KS25,24014.0
KS26,23534.0
KS44,13575.0
KS46,8903.0
KS45,13107.0
KS24,23773.0
KS47,9760.0
AA12,10846.0
AA11,10760.0
AA03,11801.0
AA02,19299.0
AA04,11710.0
EA04,24161.0
EA03,10413.0
EA01,12151.0
EA02,22546.0
FA09,2971.0
FA10,14.0
FA07,2670.0
FA08,9732.0
FA03,9967.0
FA01,6440.0
FA02,7661.0
