gebiedcode15,waarde
STAD,34.9
K,21.0
F,38.4
E,14.1
B,4.5
A,4.9
Z,
T,35.7
N,64.6
M,25.3
DX06,40.3
DX04,20.4
DX08,35.0
DX07,50.4
DX05,2.9
DX10,18.9
DX09,18.0
DX01,0.7
DX02,8.2
DX03,18.9
DX20,27.2
DX21,29.8
DX19,84.6
DX18,16.9
DX22,46.2
DX11,30.4
DX13,6.3
DX15,32.3
DX14,14.5
DX12,6.8
DX17,28.3
DX16,27.6
ZX99,4.5
E12,15.2
E14,0.0
E13,36.6
B10,4.5
A09,4.0
A00,0.0
A01,0.0
A08,25.6
A07,8.9
A06,1.2
A05,1.9
A04,0.0
A03,0.0
A02,0.0
F11,36.6
E43,0.0
E75,0.0
E42,0.0
E40,0.0
E41,13.8
E39,9.9
E38,25.0
E37,5.8
E22,9.1
E36,37.5
E20,0.0
E21,3.4
E18,4.0
E19,0.0
E17,4.5
E16,8.3
E15,1.9
K23,14.9
K24,6.3
F89,3.2
F88,42.7
F87,16.4
F86,27.4
F85,24.3
F84,10.8
F83,5.3
F82,13.5
F81,11.5
F80,73.7
F79,84.0
F78,13.6
F76,14.7
F77,33.2
Z99,
M27,0.0
M28,16.7
K91,38.8
K90,36.1
K59,42.1
K54,14.6
K53,3.8
K52,4.0
K49,6.8
K48,27.7
K47,20.5
K45,10.3
K46,32.8
K44,11.8
K26,0.0
K25,2.0
M58,39.9
M57,24.8
M56,32.0
M55,23.9
M51,10.6
M50,0.0
M35,2.7
M34,48.8
M33,5.3
M32,36.6
M30,0.0
M31,0.0
M29,1.7
N60,22.9
N61,39.0
N62,7.0
N63,0.0
N68,21.4
N67,44.3
N66,33.2
N65,12.7
N64,42.9
N74,32.9
N72,4.4
N73,94.3
N71,6.3
N70,23.6
N69,11.0
T92,29.7
T93,23.0
T95,56.6
T94,29.8
T97,35.0
T98,82.6
T96,20.1
FS89,3.2
FS88,42.7
FS86,27.4
FS85,24.3
FS87,16.4
FS82,13.5
FS84,10.8
FS81,11.5
FS79,84.0
FS78,13.6
FS83,5.3
FS80,73.7
FS76,14.7
FS11,36.6
FS77,33.2
ES01,15.2
ES06,2.5
ES05,0.0
ES03,7.5
ES08,3.4
ES02,0.0
ES07,8.3
ES04,0.0
ES27,5.9
ES61,0.0
ES26,0.0
ES24,13.8
ES23,0.0
ES99,54.1
ES25,0.0
ES20,12.5
ES22,0.0
ES21,9.8
ES19,4.8
ES17,5.9
ES18,28.9
ES16,0.0
ES15,7.3
ES13,6.3
ES14,78.8
ES12,5.3
ES10,0.0
ES09,4.0
ES11,0.0
AS11,12.2
AS08,0.0
AS06,0.0
AS10,0.0
AS09,0.0
AS12,0.0
AS07,0.0
AS04,0.0
AS01,5.9
AS03,0.0
AS05,1.9
AS02,0.0
AS20,0.0
AS18,3.8
AS15,0.0
AS17,3.9
AS19,55.9
AS13,0.0
AS16,0.0
AS14,0.0
ZS99,4.5
TS01,16.7
TS02,10.7
TS03,26.1
TS18,3.9
TS12,20.8
TS16,82.6
TS13,35.0
TS17,36.4
TS15,29.3
TS14,56.6
TS11,37.1
TS09,0.0
TS05,33.3
TS04,45.7
TS06,4.5
TS08,25.6
TS07,67.3
TS10,4.2
NS70,23.6
NS74,32.9
NS72,4.4
NS71,6.3
NS69,11.0
NS73,94.3
NS68,21.4
NS63,0.0
NS61,39.0
NS65,12.7
NS64,42.9
NS67,44.3
NS62,7.0
NS66,33.2
NS60,22.9
MS30,6.3
MS29,0.0
MS27,48.8
MS26,0.0
MS31,6.7
MS28,0.0
MS21,0.0
MS23,0.0
MS25,0.0
MS22,2.1
MS20,15.4
MS19,4.2
MS24,43.0
MS12,69.8
MS14,24.8
MS16,49.8
MS18,7.7
MS15,0.0
MS13,18.7
MS17,11.8
MS07,32.8
MS05,0.0
MS09,30.8
MS11,4.0
MS08,11.1
MS06,0.0
MS10,13.9
MS02,16.7
MS04,4.5
MS01,0.0
MS03,0.0
KS91,38.8
KS52,4.0
KS54,14.6
KS53,3.8
KS49,6.8
KS90,36.1
KS48,27.7
KS59,42.1
KS23,14.9
KS26,0.0
KS24,6.3
KS45,10.3
KS44,11.8
KS25,2.0
KS47,20.5
KS46,32.8
AA12,0.0
AA11,0.0
AA04,11.4
AA02,1.1
AA03,4.6
EA01,18.9
EA03,20.4
EA04,2.6
EA02,3.2
FA09,42.7
FA10,36.6
FA08,10.8
FA07,64.7
FA06,48.5
FA04,8.0
FA03,14.7
FA01,10.2
