gebiedcode15,waarde
STAD,9.0
A,1.7
B,0.0
E,10.1
F,20.9
K,2.9
M,9.6
Z,
N,10.0
T,2.1
DX08,9.3
DX05,7.1
DX07,22.7
DX10,1.8
DX11,1.7
DX09,22.0
DX06,26.0
DX16,9.4
DX15,4.0
DX17,9.0
DX18,9.4
DX12,4.2
DX13,11.6
DX14,12.6
DX21,2.1
DX22,1.8
DX19,11.7
DX20,2.6
DX04,19.3
DX03,7.0
DX02,2.1
DX01,1.3
ZX99,0.0
A02,0.2
A03,0.3
A04,0.9
A01,0.8
A00,0.6
A05,2.1
A06,1.5
A07,0.6
A08,1.7
A09,4.9
B10,0.0
M34,1.4
M35,9.1
M50,
M51,11.4
M55,6.8
M56,2.1
M57,6.0
K91,2.0
M31,18.3
M30,17.0
M33,4.3
M32,20.5
M29,12.2
M27,4.0
M28,10.0
K46,0.9
K47,0.2
K48,4.9
K49,0.2
K52,1.6
K53,5.2
K59,0.5
K54,4.1
K90,1.8
K24,2.7
K25,4.6
K44,1.9
K26,10.2
K45,2.7
K23,0.9
F81,20.0
F80,3.2
F82,28.3
F83,17.8
F84,12.4
F86,28.8
F85,17.6
F87,12.9
F88,6.0
F89,24.3
F78,25.8
F79,11.0
F77,28.1
F76,26.6
F11,0.0
E20,1.5
E21,1.7
E22,2.3
E36,2.3
E37,18.1
E38,10.1
E39,28.3
E40,5.0
E41,14.4
E42,12.1
E75,13.2
E43,3.9
E14,6.9
E15,9.2
E16,6.0
E17,2.8
E19,8.8
E18,6.4
E13,8.0
E12,1.3
T93,2.6
T94,2.1
T95,0.7
T96,2.1
T98,1.1
T97,1.6
N73,0.1
N74,5.1
T92,3.7
N64,0.5
N62,2.3
N63,3.5
N65,6.8
N66,6.3
N67,3.3
N68,17.1
N69,9.0
N70,13.6
N71,1.4
N72,1.2
M58,1.5
N60,11.6
N61,14.9
Z99,
AS11,0.6
AS10,0.6
AS08,0.8
AS13,0.7
AS07,0.5
AS09,0.9
AS12,0.3
AS19,0.8
AS14,5.1
AS15,0.6
AS18,2.2
AS20,2.1
AS16,0.6
AS17,5.9
AS02,2.7
AS06,1.5
AS03,2.2
AS05,1.5
AS01,1.5
AS04,0.2
TS04,1.3
TS02,2.0
TS01,2.0
TS03,2.7
TS06,2.7
TS05,1.3
TS10,2.5
TS07,0.7
TS09,2.0
TS11,1.3
TS08,2.6
TS14,0.7
TS17,0.0
TS12,2.1
TS18,3.0
TS13,1.6
TS15,3.8
TS16,1.1
ZS99,0.0
MS19,5.9
MS15,1.7
MS18,1.9
MS13,0.7
MS16,1.8
MS14,6.0
MS17,1.7
MS24,18.9
MS23,13.4
MS20,1.4
MS21,5.2
MS22,7.9
MS26,23.4
MS25,28.2
MS29,2.6
MS30,11.4
MS28,9.4
MS27,1.4
MS31,11.4
MS03,12.8
MS05,17.0
MS04,8.9
MS01,4.0
MS02,10.0
MS09,6.1
MS10,7.0
MS07,6.1
MS06,10.3
MS08,0.4
MS12,5.1
MS11,1.9
NS61,14.9
NS60,11.6
NS68,17.1
NS62,2.3
NS64,0.5
NS67,3.3
NS65,6.8
NS63,3.5
NS66,6.3
NS71,1.4
NS74,5.1
NS73,0.1
NS69,9.0
NS72,1.2
NS70,13.6
ES01,1.3
ES02,10.4
ES04,6.9
ES03,7.5
ES07,6.0
ES06,0.0
ES09,6.4
ES05,8.9
ES08,2.7
ES16,16.2
ES10,11.6
ES14,0.5
ES15,17.3
ES13,1.5
ES12,2.0
ES11,1.5
ES20,19.5
ES19,13.5
ES18,10.4
ES22,5.0
ES23,13.2
ES17,21.9
ES21,35.5
ES26,3.9
