gebiedcode15,waarde
STAD,4.1
A,0.3
B,2.7
E,2.3
F,5.2
K,4.0
M,5.4
Z,
N,3.8
T,5.1
DX09,2.0
DX08,7.7
DX06,4.1
DX05,1.6
DX10,6.2
DX07,7.0
DX11,3.6
DX17,7.6
DX16,1.1
DX15,10.1
DX13,0.2
DX12,1.9
DX14,2.3
DX18,0.7
DX20,11.6
DX19,3.6
DX22,0.8
DX21,1.1
DX01,0.4
DX02,0.2
DX03,3.1
DX04,2.4
ZX99,2.7
A03,0.0
A02,0.0
A04,0.0
A01,0.0
A00,0.0
A05,1.3
A06,0.4
A07,0.0
A08,0.8
A09,0.1
B10,2.7
M34,1.3
M35,0.0
M50,0.0
M51,2.6
M55,3.5
M56,19.5
M57,16.6
K91,0.9
M30,0.0
M31,0.0
M32,7.2
M33,0.0
M29,0.8
M27,0.0
M28,0.0
K46,0.0
K47,1.4
K48,27.5
K49,0.9
K52,0.8
K53,0.6
K54,5.3
K59,0.0
K90,2.6
K24,0.0
K25,2.1
K45,0.0
K44,2.0
K26,0.0
K23,7.7
F81,0.8
F80,11.0
F82,0.0
F83,0.0
F84,0.0
F85,0.2
F86,0.0
F87,7.3
F88,10.1
F89,0.0
F78,0.0
F79,12.6
F76,0.0
F77,3.7
F11,2.9
E20,0.0
E21,0.0
E22,4.3
E36,0.0
E37,1.6
E38,0.0
E39,8.7
E41,13.5
E40,0.0
E42,0.0
E75,0.0
E43,0.0
E14,0.2
E15,1.0
E17,0.0
E16,0.0
E18,0.0
E19,0.0
E13,6.7
E12,0.0
T93,2.1
T94,1.1
T96,0.2
T95,0.8
T97,0.1
T98,2.3
N73,3.4
N74,22.2
T92,17.3
N62,0.0
N63,0.0
N64,0.0
N65,5.6
N66,8.5
N67,13.0
N68,0.0
N69,0.3
N70,3.8
N71,0.0
N72,0.0
M58,1.9
N60,2.4
N61,1.4
Z99,
AS07,0.0
AS09,0.0
AS08,0.0
AS11,0.0
AS10,0.0
AS13,0.0
AS12,0.0
AS16,0.0
AS18,0.0
AS20,0.0
AS17,0.2
AS15,0.0
AS14,0.0
AS19,1.9
AS02,0.0
AS06,0.0
AS04,0.0
AS03,0.0
AS01,4.1
AS05,0.6
TS03,2.5
TS01,0.0
TS02,0.0
TS04,1.1
TS07,11.9
TS05,0.0
TS09,0.0
TS11,0.0
TS08,0.0
TS06,0.0
TS10,0.0
TS14,0.8
TS12,0.3
TS16,2.3
TS18,0.0
TS13,0.1
TS15,15.9
TS17,36.8
ZS99,2.7
MS17,0.0
MS16,2.4
MS14,16.6
MS13,0.0
MS18,0.0
MS15,0.0
MS24,8.5
MS19,0.0
MS20,0.0
MS21,0.0
MS23,0.0
MS22,0.0
MS25,0.0
MS31,1.6
MS27,1.3
MS26,0.0
MS28,0.0
MS30,0.0
MS29,0.0
MS05,0.0
MS02,0.0
MS03,0.0
MS04,2.2
MS01,0.0
MS10,0.0
MS09,14.5
MS07,0.0
MS06,0.0
MS12,56.5
MS11,0.0
MS08,0.0
NS60,2.4
NS61,1.4
NS66,8.5
NS65,5.6
NS63,0.0
NS62,0.0
NS68,0.0
NS67,13.0
NS64,0.0
NS73,3.4
NS72,0.0
NS74,22.2
NS70,3.8
NS69,0.3
NS71,0.0
ES01,0.0
ES07,0.0
ES08,0.0
ES03,5.3
ES04,0.2
ES06,1.4
ES02,0.0
ES05,0.0
ES15,0.0
ES14,0.0
ES10,0.0
ES11,0.0
ES13,2.9
ES12,0.0
ES09,0.0
ES21,9.6
ES17,0.0
ES16,0.0
ES18,4.4
ES20,14.3
ES19,0.0
ES22,0.0
ES61,0.0
ES99,8.1
ES24,13.5
ES25,0.0
ES27,0.0
ES26,0.0
ES23,0.0
FS11,2.9
FS76,0.0
FS77,3.7
FS78,0.0
FS83,0.0
FS81,0.8
FS79,12.6
FS80,11.0
FS82,0.0
FS84,0.0
FS86,0.0
FS87,7.3
FS89,0.0
FS85,0.2
FS88,10.1
KS91,0.9
KS46,0.0
KS45,0.0
KS26,0.0
KS25,2.1
KS48,27.5
KS47,1.4
KS44,2.0
KS59,0.0
KS90,2.6
KS54,5.3
KS52,0.8
KS49,0.9
KS53,0.6
KS23,7.7
KS24,0.0
AA11,0.0
