gebiedcode15,waarde
STAD,7.7
T,29.4
N,7.3
M,6.6
K,3.3
F,6.4
E,4.6
B,3.1
A,3.0
Z,
DX02,3.6
DX04,4.7
DX01,2.3
DX03,5.2
DX20,30.0
DX22,27.5
DX19,8.4
DX21,31.3
DX16,8.8
DX15,4.0
DX18,6.4
DX17,7.1
DX13,7.3
DX12,4.0
DX14,7.0
DX09,5.2
DX08,8.1
DX06,5.6
DX11,3.2
DX10,2.6
DX07,7.2
DX05,4.3
ZX99,3.1
E12,2.3
E13,8.0
E39,5.7
E38,2.7
E37,4.8
E36,3.4
E22,2.4
E20,2.5
E21,2.0
E18,4.2
E19,5.9
E16,3.1
E17,2.8
E15,4.2
E14,4.5
F11,5.4
F77,5.6
F76,5.5
F79,7.4
F78,5.4
F85,6.0
F86,4.2
F84,9.4
F83,8.1
F82,7.8
F81,6.6
F80,2.9
E43,3.1
E75,4.3
E42,5.2
E41,9.7
E40,3.0
B10,3.1
A09,6.4
A08,3.6
A07,1.4
A06,2.2
A05,3.9
A04,2.8
A03,1.3
A02,1.0
A00,1.8
A01,1.6
K23,2.4
F89,6.4
F88,6.7
F87,4.4
K49,1.0
K48,4.8
K47,1.4
K46,1.4
K45,4.7
K44,2.6
K26,7.2
K25,4.5
K24,3.3
M27,3.5
M28,7.7
M29,8.1
M32,8.8
M33,5.6
M30,8.2
M31,7.6
M51,8.8
M50,
M35,9.4
M34,4.5
K91,3.4
K90,3.5
K59,1.1
K54,4.0
K53,4.5
K52,2.2
N60,7.6
N61,8.6
N62,3.6
N68,9.8
N67,4.4
N65,5.9
N66,7.0
N64,0.4
N63,5.0
M58,3.4
M57,6.6
M56,2.5
M55,5.4
T92,9.2
T93,30.6
T95,12.9
T94,31.3
N74,8.3
N72,1.4
N73,1.2
N71,4.0
N70,8.7
N69,8.3
Z99,
T98,4.4
T97,26.1
T96,32.6
NS74,8.3
NS71,4.0
NS69,8.3
NS73,1.2
NS72,1.4
NS70,8.7
NS68,9.8
NS67,4.4
NS60,7.6
NS65,5.9
NS61,8.6
NS63,5.0
NS64,0.4
NS62,3.6
NS66,7.0
MS17,3.2
MS13,2.5
MS16,3.9
MS12,5.3
MS11,2.0
MS15,3.7
MS14,6.6
MS09,5.6
MS04,8.2
MS07,4.0
MS05,8.2
MS10,7.0
MS08,4.2
MS06,5.6
MS01,3.5
MS03,8.1
MS02,7.7
MS29,6.4
MS27,4.5
MS30,10.6
MS25,10.5
MS28,9.2
MS26,8.2
MS18,5.8
MS24,9.2
MS23,6.1
MS21,4.1
MS19,6.4
MS20,4.3
MS22,8.9
MS31,8.8
KS23,2.4
KS24,3.3
KS59,1.1
KS90,3.5
KS49,1.0
KS54,4.0
KS52,2.2
KS91,3.4
KS53,4.5
KS48,4.8
KS26,7.2
KS45,4.7
KS25,4.5
KS46,1.4
KS44,2.6
KS47,1.4
FS85,6.0
FS86,4.2
FS87,4.4
FS89,6.4
FS88,6.7
FS83,8.1
FS80,2.9
FS82,7.8
FS79,7.4
FS81,6.6
FS84,9.4
FS77,5.6
FS78,5.4
FS76,5.5
FS11,5.4
AS02,7.5
AS05,2.3
AS04,1.0
AS01,2.5
AS03,3.4
AS06,2.1
AS14,7.5
AS18,3.0
AS17,7.7
AS20,4.5
AS19,1.6
AS16,2.9
AS15,2.3
AS11,1.4
AS07,1.9
AS10,1.5
AS09,1.6
AS13,1.3
AS08,1.6
AS12,1.2
ES01,2.3
ES02,8.2
ES61,5.6
ES99,3.1
ES25,5.2
ES26,3.1
ES23,4.3
ES27,10.3
ES24,9.7
ES22,3.0
ES16,5.5
ES17,4.4
ES18,3.1
ES20,7.3
ES19,4.2
ES21,5.3
ES10,7.2
ES11,2.5
ES15,5.1
ES09,4.2
ES13,2.5
ES14,1.9
ES12,1.8
ES03,8.0
ES05,3.3
ES04,4.5
ES07,3.1
ES06,1.1
ES08,3.0
TS01,38.6
TS02,35.6
TS17,0.0
TS18,32.2
TS16,4.4
TS14,12.9
TS15,9.7
TS13,26.1
TS11,25.1
TS10,37.5
TS12,30.6
TS03,27.1
TS05,14.3
TS09,32.9
TS07,48.9
TS08,25.0
TS04,27.3
TS06,42.5
ZS99,3.1
EA04,5.1
EA03,4.7
EA01,5.2
EA02,3.4
AA12,1.7
AA02,2.4
AA11,2.7
AA04,4.9
AA03,1.3
FA09,6.7
FA08,9.4
FA10,5.4
FA01,5.5
FA03,5.5
FA07,7.7
FA04,5.6
FA02,4.9
FA05,5.7
FA06,6.6
KA05,2.0
KA03,2.6
KA04,3.4
KA02,3.2
