gebiedcode15,waarde
STAD,6.6
A,6.1
B,
E,6.3
F,6.6
K,6.6
M,7.0
N,6.9
T,7.2
Z,
DX09,7.3
DX05,6.1
DX04,6.9
DX06,6.0
DX08,6.6
DX07,6.5
DX10,6.7
DX16,7.5
DX12,6.1
DX13,6.6
DX15,7.3
DX14,6.9
DX11,7.5
DX17,6.7
DX19,7.1
DX20,7.1
DX22,7.4
DX18,6.9
DX21,7.0
DX02,6.4
DX01,5.8
DX03,6.2
ZX99,
N69,6.8
N70,6.8
N71,7.5
N73,7.2
N72,
N74,6.8
T94,7.0
T95,7.0
T93,7.1
T92,
M55,7.4
M56,7.3
M58,7.2
M57,7.0
N63,6.6
N64,7.3
N66,6.2
N65,7.0
N68,7.3
N67,6.8
N62,7.4
N60,6.4
N61,6.9
K52,6.4
K53,7.3
K54,6.8
K59,8.3
K90,7.6
K91,7.4
M34,8.1
M35,7.6
M50,
M51,7.1
M30,6.6
M31,6.2
M33,7.4
M32,7.0
M29,6.9
M27,6.1
M28,6.5
K24,4.7
K25,5.4
K45,5.8
K44,6.4
K26,7.2
K46,6.9
K47,6.7
K48,7.1
K49,7.2
F87,7.0
F88,6.8
F89,7.3
K23,6.2
A00,5.6
A01,5.7
A03,5.7
A02,5.3
A04,6.1
A05,6.2
A06,5.9
A07,6.0
A08,6.7
A09,7.0
B10,
E41,5.7
E40,6.3
E42,6.5
E43,6.7
E75,6.1
F81,6.6
F80,
F82,6.4
F84,6.4
F83,6.7
F86,7.5
F85,7.4
F78,5.8
F79,6.5
F76,6.4
F77,5.9
F11,
E14,6.2
E15,6.7
E17,6.1
E16,6.2
E18,6.6
E19,6.0
E20,5.9
E21,5.4
E22,5.5
E36,
E37,6.7
E39,7.2
E38,6.7
E13,6.1
E12,6.9
T96,7.6
T97,7.5
T98,6.8
Z99,
ES07,6.2
ES03,6.0
ES04,6.2
ES02,6.4
ES06,
ES05,6.5
ES08,6.1
ES14,
ES10,5.9
ES09,6.6
ES11,5.9
ES13,5.3
ES12,5.6
ES15,7.2
ES21,7.2
ES18,6.6
ES20,7.2
ES19,7.0
ES22,6.3
ES16,6.7
ES17,6.2
ES61,7.1
ES25,6.5
ES27,
ES23,6.1
ES26,6.7
ES99,
ES24,5.7
ES01,6.9
AS20,6.4
AS11,6.2
AS10,5.3
AS08,5.7
AS07,5.7
AS13,
AS12,5.7
AS09,5.3
AS18,6.7
AS17,7.0
AS15,5.8
AS14,
AS19,7.5
AS16,6.4
AS04,5.3
AS03,5.6
AS01,6.3
AS06,5.6
AS05,6.0
AS02,7.4
FS11,
FS77,5.9
FS76,6.4
FS83,6.7
FS79,6.5
FS80,
FS78,5.8
FS82,6.4
FS81,6.6
FS84,6.4
FS85,7.4
FS86,7.5
FS87,7.0
FS89,7.3
FS88,6.8
KS91,7.4
KS46,6.9
KS25,5.4
KS26,7.2
KS45,5.8
KS44,6.4
KS47,6.7
KS24,4.7
KS59,8.3
KS49,7.2
KS52,6.4
KS54,6.8
KS48,7.1
KS53,7.3
KS90,7.6
KS23,6.2
MS31,7.1
MS22,7.6
MS18,7.4
MS19,7.1
MS21,6.7
MS20,7.9
MS23,6.0
MS17,7.7
MS29,8.0
MS25,6.8
MS26,7.0
MS28,7.5
MS24,7.0
MS27,8.1
MS30,7.6
MS01,6.1
MS02,6.5
MS08,7.7
MS03,6.7
MS04,7.7
MS05,6.6
MS07,7.1
MS06,7.7
MS09,7.7
MS15,7.8
MS11,7.2
MS10,7.5
MS12,7.9
MS14,7.0
MS13,7.5
MS16,6.7
NS64,7.3
NS60,6.4
NS61,6.9
NS63,6.6
NS62,7.4
NS65,7.0
NS71,7.5
NS66,6.2
NS67,6.8
NS68,7.3
NS70,6.8
NS69,6.8
NS72,
NS74,6.8
NS73,7.2
ZS99,
TS07,
TS06,7.0
TS04,7.3
TS09,7.0
TS03,6.6
TS08,7.3
TS05,7.6
TS14,7.0
TS13,7.5
TS11,8.4
TS16,6.8
TS10,7.0
TS15,
TS12,7.6
TS18,6.8
TS17,
TS01,6.5
TS02,7.8
NA74,6.8
NA65,7.0
NA64,7.3
NA62,7.4
NA61,6.9
NA66,6.2
NA63,6.6
NA72,
NA67,6.8
NA68,7.3
NA69,6.8
NA71,7.5
NA70,6.8
NA73,7.2
NA60,6.4
MA02,7.3
MA03,7.4
MA05,7.5
MA04,6.6
MA01,6.6
KA05,7.3
KA01,5.6
KA02,6.7
KA04,7.5
KA03,6.7
FA05,5.9
FA01,7.2
FA02,7.4
FA04,5.9
FA03,6.4
FA06,6.6
FA08,6.4
FA09,6.8
FA07,6.5
FA10,
AA03,5.9
AA02,5.9
AA11,5.9
AA04,6.8
AA12,5.6
EA04,6.3
EA01,6.2
EA03,6.9
EA02,5.9
TA02,6.8
TA01,7.0
TA04,7.3
TA03,7.4
TA08,7.0
TA10,6.8
TA09,
TA06,7.4
TA05,7.6
ZA99,
DY08,5.9
DY04,6.9
DY03,6.2
DY05,5.9
DY07,6.1
DY06,6.3
DY09,6.5
DY01,5.8
DY02,6.4
DY11,7.3
DY15,5.6
DY12,6.6
DY14,7.5
DY13,6.9
DY16,6.7
DY10,6.6
DY22,6.7
DY19,7.4
DY21,7.5
DY20,7.3
DY17,6.6
DY23,6.9
DY18,6.6
DY26,7.0
DY24,7.1
DY27,7.4
DY25,7.1
ZY99,
K48f,7.0
K48d,7.2
