gebiedcode15,waarde
STAD,93.0
B,
A,111.0
T,116.0
N,97.0
Z,
M,85.0
K,66.0
F,102.0
E,84.0
DX02,122.0
DX01,104.0
DX03,73.0
DX04,101.0
DX18,94.0
DX19,99.0
DX20,132.0
DX22,104.0
DX21,95.0
DX16,74.0
DX14,87.0
DX15,74.0
DX13,101.0
DX12,66.0
DX17,96.0
DX09,105.0
DX08,70.0
DX06,118.0
DX05,82.0
DX11,60.0
DX10,71.0
DX07,107.0
ZX99,
B10,
A09,79.0
A08,93.0
A07,151.0
A06,81.0
A05,75.0
A01,131.0
A00,125.0
A04,103.0
A02,68.0
A03,175.0
Z99,
N60,100.0
N61,95.0
M58,105.0
N71,125.0
N72,
N70,103.0
N69,103.0
N68,99.0
N67,97.0
N66,97.0
N64,84.0
N65,71.0
N62,84.0
N63,84.0
T92,
N74,55.0
N73,119.0
T98,38.0
T97,98.0
T96,136.0
T95,70.0
T94,97.0
T93,151.0
E12,79.0
E13,79.0
E19,97.0
E18,64.0
E17,82.0
E16,67.0
E15,67.0
E14,74.0
E43,63.0
E75,71.0
E42,94.0
E40,98.0
E41,93.0
E39,67.0
E38,92.0
E37,120.0
E22,83.0
E36,120.0
E20,83.0
E21,63.0
F11,
F76,118.0
F77,115.0
F79,66.0
F78,127.0
F89,90.0
F88,77.0
F87,126.0
F85,62.0
F86,124.0
F83,105.0
F84,63.0
F82,101.0
F80,63.0
F81,113.0
K23,62.0
K45,61.0
K44,82.0
K26,54.0
K25,70.0
K24,72.0
K90,53.0
K54,58.0
K59,62.0
K53,103.0
K52,58.0
K49,57.0
K48,75.0
K47,75.0
K46,56.0
M27,104.0
M28,98.0
M29,116.0
M33,81.0
M32,106.0
M31,83.0
M30,82.0
K91,67.0
M57,75.0
M56,70.0
M55,66.0
M51,70.0
M50,
M35,75.0
M34,75.0
