gebiedcode15,waarde
STAD,25.0
B,11.1
A,14.5
T,32.2
N,33.6
Z,
M,26.6
K,20.0
F,33.3
E,20.2
DX03,19.9
DX02,15.7
DX04,24.1
DX01,13.4
DX21,32.7
DX19,34.0
DX20,28.4
DX22,34.7
DX15,21.1
DX17,37.1
DX18,29.0
DX14,27.6
DX13,21.2
DX12,17.9
DX16,47.5
DX11,18.2
DX07,30.7
DX08,42.7
DX09,28.3
DX05,18.6
DX06,34.6
DX10,23.8
ZX99,11.1
B10,11.1
A09,20.5
A08,13.4
A07,13.9
A06,13.8
A05,18.4
A00,9.3
A01,6.8
A04,14.0
A02,12.7
A03,14.1
Z99,
N61,27.6
N60,30.4
M58,5.5
N72,10.2
N71,16.2
N70,36.7
N69,25.5
N68,39.2
N67,41.3
N66,39.6
N65,34.6
N64,45.4
N63,32.4
N62,29.2
T92,3.1
N74,50.3
N73,37.7
T97,37.2
T98,42.0
T96,35.6
T95,19.9
T94,32.7
T93,29.0
E12,12.8
E13,22.1
E18,14.6
E19,15.9
E17,16.4
E16,16.7
E15,32.3
E14,18.9
E43,19.7
E75,27.7
E42,20.8
E41,15.4
E40,19.0
E39,28.4
E38,20.6
E36,12.0
E37,23.5
E22,22.7
E21,18.0
E20,18.8
F11,7.9
F77,31.0
F76,33.9
F79,39.2
F78,39.3
F89,28.7
F88,39.3
F87,22.7
F86,28.4
F85,34.2
F83,30.8
F84,46.2
F82,36.5
F81,25.3
F80,38.6
K23,8.9
K45,16.2
K26,22.7
K44,19.2
K25,15.0
K24,13.3
K90,20.4
K54,17.6
K59,26.6
K53,19.2
K52,22.8
K49,32.7
K48,22.3
K47,23.8
K46,32.2
M27,18.2
M28,19.7
M29,20.8
M33,32.5
M32,26.5
M30,25.2
M31,22.1
K91,16.9
M57,20.4
M56,28.9
M55,19.1
M51,51.1
M50,
M35,51.4
M34,8.9
AS03,16.2
AS04,12.7
AS01,17.7
AS05,14.5
AS02,24.9
AS06,12.4
AS16,
AS15,14.1
AS14,16.4
AS20,11.8
AS17,18.9
AS18,17.6
AS19,17.2
AS13,7.2
AS11,15.9
AS12,15.7
AS07,9.1
AS08,6.8
AS09,10.1
AS10,8.0
KS23,8.9
KS24,13.3
KS90,20.4
KS53,19.2
KS49,32.7
KS54,17.6
KS59,26.6
KS91,16.9
KS52,22.8
KS46,32.2
KS44,19.2
KS45,16.2
KS47,23.8
KS26,22.7
KS25,15.0
KS48,22.3
FS89,28.7
FS87,22.7
FS86,28.4
FS88,39.3
FS81,25.3
FS82,36.5
FS85,34.2
FS80,38.6
FS84,46.2
FS83,30.8
FS79,39.2
FS76,33.9
FS11,7.9
FS78,39.3
FS77,31.0
ES26,19.7
ES61,21.7
ES25,20.8
ES99,25.0
ES24,15.4
ES27,6.3
ES21,36.4
ES18,23.0
ES23,27.7
ES17,28.0
ES20,28.7
ES22,19.0
ES19,16.9
ES14,12.8
ES13,21.5
ES15,20.2
ES10,17.3
ES12,17.1
ES16,20.5
ES11,18.8
ES07,16.7
ES09,14.6
ES05,42.3
ES03,21.6
ES06,31.6
ES08,15.3
ES04,18.9
ES01,12.8
ES02,24.2
NS71,16.2
NS72,10.2
NS73,37.7
NS70,36.7
NS74,50.3
NS69,25.5
NS68,39.2
NS62,29.2
NS65,34.6
NS66,39.6
NS64,45.4
NS63,32.4
NS67,41.3
NS61,27.6
NS60,30.4
MS10,16.5
MS08,22.2
MS09,28.3
MS06,19.9
MS12,36.0
MS07,14.8
MS11,35.3
MS01,18.2
MS05,25.2
MS02,19.7
MS03,20.5
MS04,23.0
MS30,46.2
MS31,51.1
MS28,55.7
MS27,8.9
MS29,61.3
MS20,52.5
MS24,24.8
MS22,25.4
MS23,18.7
MS21,46.2
MS25,30.4
MS26,29.6
MS15,0.4
MS17,30.9
MS13,7.5
MS16,5.6
MS14,20.4
MS18,22.2
MS19,29.4
ZS99,11.1
TS14,19.9
TS15,3.2
TS17,0.0
TS18,26.6
TS13,37.2
TS16,42.0
TS12,31.3
TS08,36.0
TS11,34.3
TS10,41.4
TS09,19.7
TS07,47.3
TS05,6.1
TS06,45.5
TS02,29.4
TS01,37.6
TS04,25.6
TS03,36.0
AA12,8.1
AA02,14.8
AA04,17.0
AA03,14.0
AA11,14.3
TA09,3.1
TA08,19.7
TA10,42.0
ZA99,11.1
MA04,24.0
MA05,47.5
MA01,21.2
MA02,21.1
MA03,32.5
NA74,50.3
NA73,37.7
NA72,10.2
NA71,16.2
NA70,36.7
NA61,27.6
NA60,30.4
NA62,29.2
NA69,25.5
NA68,39.2
NA65,34.6
NA67,41.3
NA64,45.4
NA66,39.6
NA63,32.4
TA04,36.0
TA06,32.4
TA03,27.4
TA05,39.7
TA01,32.7
TA02,26.6
EA04,20.2
EA03,24.1
EA01,19.9
EA02,17.1
FA09,39.3
FA08,46.2
FA10,7.9
FA03,33.9
FA07,35.0
FA05,39.3
FA06,25.3
FA01,25.9
FA02,30.6
FA04,31.0
KA05,13.9
KA04,19.1
KA01,16.0
KA02,20.4
KA03,23.8
DY01,13.4
DY03,19.9
DY02,15.7
DY10,42.7
DY07,31.9
DY04,24.1
DY05,17.1
DY09,30.7
DY08,39.3
DY06,20.2
DY25,28.4
DY26,32.7
DY24,34.0
DY27,34.7
DY20,21.1
DY19,32.5
DY23,29.0
DY21,47.5
DY22,37.1
DY18,24.0
DY17,21.2
DY15,16.0
DY11,28.3
DY13,28.2
DY16,20.4
DY14,18.2
DY12,20.1
ZY99,11.1
B10c,0.0
B10a,14.3
B10b,33.3
B10e,0.0
B10d,14.3
B10h,0.0
B10f,9.1
B10g,25.0
A09h,18.2
A09f,34.9
A09i,17.4
A08b,12.3
A07g,16.1
A07f,18.3
A08d,17.2
A07h,17.3
A08a,11.4
A09a,24.2
A09b,18.2
A08e,17.8
A09c,20.9
A09e,17.6
A09d,23.8
A05b,13.5
A05a,24.9
A04i,12.9
A04h,12.0
A05c,18.5
A06c,15.1
A06a,13.0
A05f,12.6
A05d,18.5
A05g,11.1
A06d,14.9
A06l,15.4
A07d,13.0
A07c,7.0
A07a,4.8
A07b,10.2
A07e,14.3
A06k,18.0
A06h,11.7
A06e,6.6
A06i,10.6
A06j,6.7
A06g,13.6
A06f,13.7
A02c,12.7
A02a,13.6
A02d,10.7
A03a,17.0
A02b,12.6
A01h,5.8
A01b,5.9
A01d,6.6
A01e,6.8
A01f,9.6
A01c,8.1
A01g,3.2
A04e,16.2
A04c,16.8
A04d,14.8
A04b,13.2
A04g,14.5
A04a,16.5
A04f,10.9
A03b,10.1
A03c,17.1
A03g,15.4
A03d,14.5
A03e,6.9
A03f,7.7
A00c,10.1
A00e,11.8
A00d,7.2
A01a,0.0
A00a,7.5
A00b,9.2
Z99z,
T98b,50.0
T97a,30.1
T97b,35.2
T97d,38.4
T98a,41.7
T97c,45.2
T95c,36.8
T94n,33.9
T94m,30.0
T95b,38.5
T95a,19.6
T96b,43.9
T96a,37.9
T96e,24.3
T96c,34.3
T96f,33.2
T96d,32.2
T96g,33.8
T92f,12.5
T93a,26.0
T92g,35.3
T93d,45.5
T93c,6.1
T93b,27.7
T93e,19.7
T93f,38.4
T93h,32.5
T93j,47.3
T93k,
T93i,28.7
T93g,38.4
T94d,26.4
T94c,29.7
T94b,38.8
T94e,40.1
T94a,47.4
T94h,51.2
T94k,25.9
T94i,47.4
T94f,33.6
T94j,16.5
T94g,48.5
T94l,
N74b,19.8
N74c,55.4
N74a,45.0
N73b,41.2
N73c,50.0
N72c,12.5
N73a,41.2
N72a,10.5
N72b,0.0
N73i,0.0
N73h,28.9
N73g,44.5
N73f,37.2
N73e,50.0
N73d,40.0
N73j,0.0
T92c,5.0
T92b,1.3
T92e,0.0
T92d,0.0
T92a,0.0
M58i,10.0
M58g,6.8
M58j,1.3
M58h,17.0
M57c,
M58b,0.4
M57a,20.3
M57b,33.3
M58f,9.4
M58e,26.1
N61a,22.6
N60b,31.4
N60a,29.2
N61c,29.5
N61b,30.3
N60c,31.9
N62b,30.6
N61d,33.3
N62a,25.8
N63a,32.4
N64e,33.3
N64d,47.7
N64b,41.2
N64a,38.7
N64c,46.3
N65a,28.1
N65b,35.0
N65c,26.5
N66b,40.0
N65d,69.0
N66c,46.4
N67a,39.5
N66d,48.1
N66e,26.2
N66f,34.0
N67b,44.5
N66g,34.4
N68c,32.4
N68e,48.5
N68f,49.0
N68b,13.4
N68d,52.2
N68a,15.9
N69j,10.0
N69l,41.5
N69a,38.1
N69c,18.8
N69k,33.1
N69m,15.0
N70b,28.1
N70c,37.9
N70d,40.5
N70e,37.0
N70a,41.6
N70f,37.7
N71c,31.2
N71h,24.9
N71g,0.0
N71e,11.1
N71f,1.0
E12a,9.4
E13d,19.0
E13c,19.6
E13a,24.2
E12b,15.1
E13e,21.5
E13b,21.9
E13g,
E13f,24.8
E14b,17.9
E14a,19.9
E13h,25.0
E14c,18.0
E14e,16.9
E14d,17.3
E14f,23.5
E15a,42.3
E15b,25.6
E15c,39.4
E17a,16.4
E16a,18.9
E16c,19.9
E15d,21.7
E16b,13.1
E19b,18.6
E18b,14.1
E19a,13.1
E18a,15.2
E19c,15.4
E75d,34.9
E43b,19.3
E75a,27.5
E43a,20.0
E75c,29.4
E75b,19.8
E40b,20.5
E40c,23.1
E40a,12.5
E41b,19.2
