gebiedcode15,waarde
STAD,5065.0
B,10.0
A,13752.0
T,4303.0
N,2224.0
Z,
M,7439.0
K,9266.0
F,4401.0
E,15299.0
DX03,11959.0
DX02,12119.0
DX01,15867.0
DX04,10658.0
DX19,1024.0
DX20,3091.0
DX22,4102.0
DX21,7328.0
DX15,4035.0
DX16,4955.0
DX14,14347.0
DX18,4115.0
DX17,5293.0
DX13,17006.0
DX12,17512.0
DX07,4505.0
DX05,23554.0
DX08,4636.0
DX11,3499.0
DX06,3191.0
DX09,7209.0
DX10,11084.0
ZX99,10.0
B10,10.0
A09,12783.0
A08,10183.0
A07,13129.0
A06,23383.0
A05,17248.0
A00,12257.0
A01,6984.0
A04,13546.0
A02,14407.0
A03,10490.0
Z99,
N61,6988.0
N60,8182.0
M58,1386.0
N72,241.0
N71,669.0
N70,8598.0
N69,7504.0
N68,9508.0
N67,2318.0
N66,3548.0
N65,7068.0
N64,4829.0
N63,10976.0
N62,8186.0
T92,88.0
N74,3104.0
N73,90.0
T97,6321.0
T98,831.0
T96,7073.0
T95,1375.0
T94,7328.0
T93,8102.0
E12,3164.0
E13,8125.0
E18,25432.0
E19,28312.0
E16,23600.0
E17,21309.0
E15,4810.0
E14,28057.0
E43,21681.0
E75,24984.0
E42,26203.0
E40,24429.0
E41,24110.0
E39,13489.0
E38,16364.0
E37,18526.0
E22,8491.0
E36,429.0
E21,26855.0
E20,22745.0
F11,15.0
F76,9973.0
F77,7650.0
F79,1035.0
F78,11726.0
F89,7795.0
F88,2999.0
F87,5598.0
F85,7198.0
F86,8314.0
F83,10346.0
F84,9789.0
F82,15272.0
F81,10146.0
F80,158.0
K23,1085.0
K45,13255.0
K44,13844.0
K26,23646.0
K25,24325.0
K24,23605.0
K90,4455.0
K59,3468.0
K54,9508.0
K53,20615.0
K52,14901.0
K49,9959.0
K48,12389.0
K47,9747.0
K46,8823.0
M28,15218.0
M27,14514.0
M29,15686.0
M32,11160.0
M33,12330.0
M30,25476.0
M31,26787.0
K91,5039.0
M57,2950.0
M56,5506.0
M55,6921.0
M51,10620.0
M50,
M35,13001.0
M34,502.0
AS06,19435.0
AS03,19686.0
AS01,18947.0
AS04,14407.0
AS05,25737.0
AS02,12244.0
AS18,16065.0
AS17,11676.0
AS14,1812.0
AS15,20567.0
AS16,12037.0
AS20,13675.0
AS19,6109.0
AS12,10886.0
AS10,11420.0
AS09,6993.0
AS07,15767.0
AS13,8830.0
AS11,13754.0
AS08,9253.0
KS24,23605.0
KS23,1085.0
KS90,4455.0
KS52,14901.0
KS49,9959.0
KS59,3468.0
KS54,9508.0
KS53,20615.0
KS91,5039.0
KS44,13844.0
KS26,23646.0
KS48,12389.0
KS25,24325.0
KS46,8823.0
KS47,9747.0
KS45,13255.0
FS89,7795.0
FS87,5598.0
FS86,8314.0
FS88,2999.0
FS85,7198.0
FS81,10146.0
FS82,15272.0
FS80,158.0
FS83,10346.0
FS79,1035.0
FS84,9789.0
FS11,15.0
FS76,9973.0
FS77,7650.0
FS78,11726.0
ES24,24110.0
ES27,147.0
ES61,16750.0
ES25,26203.0
ES26,21681.0
ES99,15.0
ES22,24429.0
ES18,16068.0
ES21,14798.0
ES17,17300.0
ES23,24984.0
ES19,18710.0
ES20,8669.0
ES16,22342.0
ES10,26872.0
ES15,16912.0
ES11,22745.0
ES13,12609.0
ES14,798.0
ES12,29584.0
ES08,23893.0
ES03,22043.0
ES06,355.0
ES04,28057.0
ES07,23600.0
ES09,25432.0
ES05,22567.0
ES01,3164.0
ES02,22867.0
NS74,3104.0
NS72,241.0
NS70,8598.0
NS69,7504.0
NS71,669.0
NS73,90.0
NS62,8186.0
NS63,10976.0
NS65,7068.0
NS66,3548.0
NS67,2318.0
NS64,4829.0
NS68,9508.0
NS61,6988.0
NS60,8182.0
MS10,6878.0
MS11,14325.0
MS07,7729.0
MS09,6859.0
MS08,4561.0
MS12,2051.0
MS06,6774.0
MS03,21265.0
MS02,15218.0
MS04,6305.0
MS01,14514.0
MS05,25476.0
MS30,15498.0
MS29,11119.0
MS27,502.0
MS28,11084.0
MS31,6675.0
MS22,7579.0
MS23,27219.0
MS26,26907.0
MS21,24067.0
MS20,20515.0
MS25,25950.0
MS24,8370.0
MS13,2425.0
MS18,18723.0
MS19,7785.0
MS17,18865.0
MS14,2950.0
MS16,845.0
MS15,2877.0
ZS99,10.0
TS13,6321.0
TS15,91.0
TS14,1375.0
TS16,831.0
TS12,6822.0
TS18,11375.0
TS17,55.0
TS07,1413.0
TS05,7407.0
TS10,10317.0
TS08,9388.0
TS11,3979.0
TS06,17482.0
TS09,3410.0
TS02,6355.0
TS03,10786.0
TS04,4681.0
TS01,9155.0
AA12,10601.0
AA03,11858.0
AA04,11759.0
AA11,10814.0
AA02,19343.0
TA09,88.0
TA10,831.0
TA08,3410.0
ZA99,10.0
MA04,16406.0
MA05,4955.0
MA02,4035.0
MA01,17006.0
MA03,12330.0
NA74,3104.0
NA73,90.0
NA72,241.0
NA71,669.0
NA70,8598.0
NA60,8182.0
NA61,6988.0
NA62,8186.0
NA69,7504.0
NA66,3548.0
NA65,7068.0
NA63,10976.0
NA68,9508.0
NA67,2318.0
NA64,4829.0
TA04,9388.0
TA02,11375.0
TA01,7328.0
TA03,6581.0
TA06,4385.0
TA05,7307.0
EA02,22619.0
EA04,24508.0
EA01,11959.0
EA03,10658.0
FA10,15.0
FA09,2999.0
FA08,9789.0
FA01,6605.0
FA06,5476.0
FA02,7832.0
FA07,2730.0
FA05,11012.0
FA03,9973.0
FA04,10673.0
KA01,23861.0
KA04,4648.0
KA05,1453.0
KA03,11084.0
KA02,13291.0
DY01,15867.0
DY03,11959.0
DY02,12119.0
DY08,4923.0
DY06,24508.0
DY09,4505.0
DY04,10658.0
DY10,4636.0
DY05,22619.0
DY07,2586.0
DY26,7328.0
DY25,3091.0
DY27,4102.0
DY19,12330.0
DY23,4115.0
DY24,1024.0
DY22,5293.0
DY21,4955.0
DY18,16406.0
DY20,4035.0
DY14,3499.0
DY17,17006.0
DY11,7209.0
DY12,13104.0
DY16,13291.0
DY15,23861.0
DY13,9639.0
ZY99,10.0
B10c,8.0
B10a,15.0
B10b,33.0
B10e,1.0
B10d,6.0
B10h,21.0
B10f,16.0
B10g,2.0
A09h,19240.0
A09i,16582.0
A09f,19529.0
A07f,12056.0
A07g,19733.0
A07h,6800.0
A08a,15671.0
A08b,12106.0
A08d,6109.0
A09d,7785.0
A08e,9900.0
A09e,19730.0
A09c,18425.0
A09a,371.0
A09b,18922.0
A05d,19173.0
A04i,8091.0
A04h,21657.0
A05a,12244.0
A05c,22573.0
A05b,16511.0
A05g,16500.0
A06c,27282.0
A06a,27600.0
A06d,29640.0
A05f,17250.0
A07d,8075.0
A07e,20150.0
A07a,8967.0
A07c,19360.0
A06l,26673.0
A07b,5100.0
A06j,15525.0
A06i,6367.0
A06f,10000.0
A06g,22684.0
A06k,24011.0
A06e,21125.0
A06h,18060.0
A02d,13840.0
A02c,13544.0
A02a,18260.0
A03a,10350.0
A02b,12843.0
A01e,10263.0
A01b,8583.0
A01h,5540.0
A01g,5943.0
A01f,11533.0
A01d,16460.0
A01c,7250.0
A04c,11300.0
A04g,16586.0
A04d,21340.0
A04e,27083.0
A04f,14313.0
A04a,3908.0
A04b,14560.0
A03f,9125.0
A03c,11015.0
A03e,8633.0
A03d,13945.0
A03b,3120.0
A03g,10367.0
A01a,14.0
A00a,17033.0
A00d,7440.0
A00c,26933.0
A00b,7478.0
A00e,7588.0
Z99z,
T98b,26.0
T97a,10003.0
T97b,9328.0
T97d,4650.0
T98a,4966.0
T97c,5459.0
T95c,54.0
T94m,26457.0
T94n,11333.0
T95a,4316.0
T95b,48.0
T96c,3979.0
T96a,8641.0
T96f,10104.0
T96b,11857.0
T96e,8026.0
T96d,8558.0
T96g,4278.0
T92f,61.0
T93a,11696.0
T92g,67.0
T93b,10910.0
T93d,17482.0
T93c,7407.0
T93i,1836.0
T93f,6820.0
T93e,3410.0
T93h,9704.0
T93g,15685.0
T93k,
T93j,10500.0
T94d,12424.0
T94b,9343.0
T94e,4524.0
T94a,5006.0
T94c,16343.0
T94f,13063.0
T94j,3634.0
T94h,9747.0
T94k,4173.0
T94g,5178.0
T94i,14467.0
T94l,
N74b,857.0
N74c,4533.0
N74a,2750.0
N73b,929.0
N72c,150.0
N73a,493.0
N72a,447.0
N73c,17.0
N72b,22.0
N73i,16.0
N73g,34.0
N73e,8.0
N73j,18.0
N73d,198.0
N73h,51.0
N73f,166.0
T92c,25.0
T92a,55.0
T92b,125.0
T92e,14.0
T92d,434.0
M58i,148.0
M58g,4243.0
M58j,2690.0
M58h,6150.0
M58b,2877.0
M58e,196.0
M57b,16.0
M58f,40.0
M57c,
M57a,7293.0
N61a,12715.0
N60a,9802.0
N60b,6923.0
N61c,4410.0
N60c,7144.0
N61b,13466.0
N62b,7916.0
N63a,10976.0
N61d,311.0
N62a,9691.0
N64d,4800.0
N65a,6894.0
N64b,6300.0
N64a,7850.0
N64c,10640.0
N64e,50.0
N66b,814.0
N66c,2958.0
N65c,6123.0
N65b,8204.0
N65d,7046.0
N66e,175.0
N67a,1681.0
N66f,10403.0
N66d,6856.0
N66g,9133.0
N67b,6222.0
N68f,8489.0
N68a,5464.0
N68b,3207.0
N68e,8505.0
N68c,13781.0
N68d,10266.0
N69k,10630.0
N69c,9688.0
N69l,12927.0
N69j,4226.0
N69a,1533.0
N69m,5791.0
N70b,6904.0
N70d,9120.0
N70e,4113.0
N70f,12433.0
N70c,8484.0
N70a,11041.0
N71h,3097.0
N71c,528.0
N71e,25.0
N71g,86.0
N71f,1046.0
E12b,21800.0
E12a,1258.0
E13a,22867.0
E13d,21975.0
E13c,20900.0
E13b,27720.0
E13e,20583.0
E14b,29967.0
E13g,
E14a,23133.0
E13f,16725.0
E14c,20267.0
E13h,21.0
E14e,28290.0
E14f,28809.0
E15a,22567.0
E15b,288.0
E14d,36860.0
E15c,479.0
E15d,16750.0
E16a,21528.0
E16c,21267.0
E16b,30409.0
E17a,21309.0
E18a,31367.0
E18b,22094.0
E19a,32014.0
E19c,32467.0
E19b,26264.0
E75d,26425.0
E43b,19456.0
E75c,26129.0
E75a,22560.0
E43a,25500.0
E75b,27600.0
E40b,27033.0
E40a,21038.0
E40c,27329.0
E41b,28763.0
E41a,27714.0
E42b,23900.0
E41c,35225.0
E42d,22938.0
E42c,31883.0
E42a,26233.0
E41d,13420.0
E21a,29584.0
E20a,27140.0
E20b,15863.0
E20c,32200.0
E21b,21670.0
E36b,147.0
E22b,10344.0
E36a,798.0
E22a,7208.0
E37g,24850.0
E37d,20705.0
E37f,22342.0
E37e,25263.0
E37a,2800.0
E37c,17300.0
E39c,18267.0
E39d,13362.0
E39b,8669.0
E38c,13617.0
E39a,15164.0
E38d,25800.0
F77e,
F77b,8017.0
F77c,10547.0
F77d,17277.0
F78a,12212.0
F77f,11987.0
F79a,15.0
F78c,16168.0
F78d,14478.0
F79b,7870.0
F78e,1838.0
F78b,7968.0
F11h,1.0
F76a,9097.0
F11j,2.0
F76b,12068.0
F77a,8453.0
F11d,17.0
F11f,38.0
F11a,20.0
F11e,27.0
F11c,
F81a,16087.0
F80a,7.0
F80b,324.0
F81b,14952.0
F80c,17.0
F82b,14096.0
F81e,7733.0
F82a,15233.0
F81d,4792.0
F81c,9227.0
F82c,13591.0
F84a,11415.0
F82d,17153.0
F83a,12637.0
F84b,9437.0
F83b,764.0
F85a,6876.0
F85c,10623.0
F85b,4893.0
F86a,17594.0
F84c,9238.0
F86d,2821.0
F86f,3622.0
F87a,9142.0
F86e,9278.0
F86b,9473.0
F86c,3707.0
F87d,8884.0
F87e,27.0
F87f,100.0
F87b,9429.0
F87c,8576.0
F88a,159.0
F89b,10752.0
F89d,2590.0
F88i,9230.0
F88j,1302.0
F89a,8228.0
F89c,9450.0
F88e,9406.0
F88d,315.0
F88g,13288.0
F88b,7791.0
F88f,7098.0
F88c,137.0
F88h,11348.0
K90j,47.0
K90i,3940.0
K91a,5154.0
K91b,10834.0
K91d,22.0
K91c,6290.0
M27c,5486.0
M27b,16406.0
M27a,17164.0
M28a,18824.0
M28c,23325.0
M29c,6305.0
M29b,21676.0
M28b,522.0
M28d,26267.0
M29a,20915.0
M30a,24171.0
M31a,24656.0
M31c,25950.0
M30b,27984.0
M31b,29953.0
M32d,44.0
M32b,26907.0
M32c,5256.0
M32a,23535.0
M33a,6750.0
M33i,740.0
M33h,18360.0
M33k,2840.0
M33j,94.0
M34a,63.0
M34c,1924.0
M33f,24067.0
M33c,18865.0
M33b,8341.0
M33d,18723.0
M33g,15310.0
M33e,20515.0
M35a,10636.0
M34d,1894.0
M35b,11357.0
M34e,62.0
M34f,1422.0
M34g,
M35e,14612.0
M35f,15984.0
M35c,11119.0
M50c,
M50a,
M50b,
M50e,
M50f,
M50d,
M51a,1280.0
M50g,
M51b,11614.0
M55d,13069.0
M55e,60.0
M55b,13206.0
M51c,14758.0
M55c,4561.0
M55f,7382.0
M56i,67.0
M56d,1433.0
M56h,6538.0
M56g,
M56f,6942.0
M56e,8.0
M55i,7843.0
M56b,15795.0
M55g,6654.0
M56a,14953.0
M55h,6878.0
M56c,13003.0
K23a,185.0
K23b,
K23e,3375.0
K24a,21683.0
K23c,327.0
K24b,19910.0
K23d,5090.0
K25b,27436.0
K25c,20308.0
K24d,32300.0
K24c,23464.0
K24e,23241.0
K25a,23509.0
K26c,22710.0
K26b,23700.0
K25d,23613.0
K26a,22579.0
K44c,24930.0
K44e,23414.0
K44f,861.0
K44b,22306.0
K44d,20264.0
K44a,19413.0
K45a,23490.0
K46c,8489.0
K45b,7868.0
K46b,18443.0
K46a,12100.0
K46d,
K47e,8380.0
K47f,17192.0
K47b,7245.0
K47d,15732.0
K47c,14654.0
K47a,10113.0
K47h,54.0
K47i,5.0
K47g,13980.0
K47j,22517.0
K48b,9900.0
K48a,21840.0
K48d,10290.0
K49b,8413.0
K48e,1781.0
K48f,20540.0
K48c,20217.0
K49a,4121.0
K49d,10279.0
K52b,17564.0
K49c,820.0
K49f,18060.0
K49e,16593.0
K52a,21921.0
K52d,16886.0
K52g,11623.0
K53b,23046.0
K52h,571.0
K53a,19700.0
K52c,20750.0
K54b,14405.0
K54d,20575.0
K54c,8312.0
K54e,177.0
K54a,14929.0
K59b,
K90d,5668.0
K90c,7144.0
K90e,90.0
K59a,5492.0
K90a,9432.0
