gebiedcode15,waarde
STAD,49.0
B,
A,29.0
T,60.0
N,61.0
Z,
M,48.0
K,41.0
F,60.0
E,50.0
B10,
A09,55.0
A08,35.0
A07,19.0
A06,27.0
A05,40.0
A00,24.0
A01,17.0
A04,26.0
A03,12.0
A02,8.0
Z99,
N60,61.0
N61,76.0
M58,66.0
M57,101.0
N71,83.0
N70,59.0
N69,63.0
N68,65.0
N67,27.0
N66,58.0
N65,68.0
N64,7.0
N63,87.0
N62,46.0
T92,89.0
N74,
N72,19.0
N73,9.0
T97,54.0
T98,28.0
T96,79.0
T95,52.0
T94,59.0
T93,54.0
E12,82.0
E13,68.0
E19,56.0
E18,62.0
E17,46.0
E16,40.0
E15,54.0
E14,47.0
E43,31.0
E75,28.0
E42,52.0
E40,28.0
E41,68.0
E39,62.0
E38,40.0
E37,60.0
E36,89.0
E22,36.0
E20,41.0
E21,31.0
F11,
F76,71.0
F77,75.0
F79,57.0
F78,81.0
F89,
F88,49.0
F87,53.0
F86,77.0
F85,46.0
F83,40.0
F84,41.0
F82,54.0
F80,5.0
F81,64.0
K23,
K44,35.0
K26,67.0
K25,43.0
K24,34.0
K90,49.0
K59,10.0
K54,55.0
K53,38.0
K52,37.0
K49,13.0
K48,65.0
K47,16.0
K45,35.0
K46,26.0
M28,65.0
M27,49.0
M29,57.0
M32,59.0
M33,53.0
M31,48.0
M30,50.0
K91,52.0
M56,19.0
M55,44.0
M51,29.0
M50,
M35,27.0
M34,68.0
