gebiedcode15,waarde
STAD,292448.0
A,410171.0
B,
E,280953.0
F,207817.0
K,401192.0
M,303507.0
N,209959.0
T,152461.0
Z,
DX09,211127.0
DX05,305518.0
DX04,229299.0
DX06,170898.0
DX08,293648.0
DX07,190176.0
DX10,539869.0
DX16,331515.0
DX12,331657.0
DX13,301297.0
DX15,288389.0
DX11,303753.0
DX14,305969.0
DX17,208382.0
DX19,213221.0
DX20,134198.0
DX22,163342.0
DX21,156291.0
DX18,208876.0
DX03,277899.0
DX02,415613.0
DX01,405363.0
ZX99,
N69,177380.0
N70,191675.0
N71,243183.0
N72,168528.0
N73,480514.0
N74,322014.0
T94,156291.0
T95,140373.0
T93,135944.0
T92,78137.0
M55,274148.0
M56,356020.0
M57,230751.0
M58,186082.0
N63,194104.0
N64,439019.0
N66,213785.0
N65,202216.0
N68,191231.0
N67,299298.0
N62,204509.0
N60,184154.0
N61,197581.0
K52,403802.0
K53,310993.0
K59,625081.0
K54,301239.0
K90,296458.0
K91,266394.0
M34,150175.0
M35,366179.0
M50,
M51,352869.0
M30,283449.0
M31,253664.0
M32,251413.0
M33,377085.0
M29,289299.0
M27,367507.0
M28,296108.0
K24,334147.0
K25,305668.0
K45,313400.0
K26,299994.0
K44,308149.0
K46,808360.0
K47,755109.0
K48,345993.0
K49,839342.0
F87,218208.0
F88,290169.0
F89,198941.0
K23,303047.0
A00,339548.0
A01,351214.0
A02,674610.0
A03,627625.0
A04,386716.0
A05,403267.0
A06,347740.0
A07,458010.0
A08,413388.0
A09,316261.0
B10,
E41,232976.0
E40,272308.0
E42,232847.0
E75,288036.0
E43,295618.0
F80,430190.0
F81,183051.0
F82,197667.0
F84,297287.0
F83,167009.0
F85,220699.0
F86,208991.0
F78,185583.0
F79,237948.0
F77,158871.0
F76,157018.0
F11,
E14,277214.0
E15,328441.0
E16,282776.0
E17,339699.0
E18,291110.0
E19,272741.0
E21,344820.0
E20,401695.0
E22,754544.0
E36,369842.0
E37,228885.0
E38,233754.0
E39,219773.0
E13,256300.0
E12,349525.0
T96,153254.0
T97,176573.0
T98,251670.0
Z99,
ES07,282776.0
ES03,251798.0
ES04,277214.0
ES06,
ES05,347338.0
ES08,322384.0
ES02,276801.0
ES14,371272.0
ES10,263531.0
ES11,401695.0
ES13,572154.0
ES09,291110.0
ES12,319012.0
ES15,232317.0
ES21,219702.0
ES17,213256.0
ES16,215904.0
ES18,249576.0
ES20,308586.0
ES19,196675.0
ES22,272308.0
ES24,232976.0
ES61,305881.0
ES25,232847.0
ES27,
ES26,295618.0
ES99,
ES23,288036.0
ES01,349525.0
AS11,484535.0
AS10,382454.0
AS08,351214.0
AS13,419028.0
AS07,320407.0
AS12,667094.0
AS09,409484.0
AS18,351121.0
AS17,302408.0
AS15,387116.0
AS14,479740.0
AS20,393088.0
AS19,474726.0
AS16,375995.0
AS04,674610.0
AS03,377446.0
AS01,379950.0
AS06,359149.0
AS05,342345.0
AS02,513479.0
FS76,157018.0
FS11,
FS77,158871.0
FS83,167009.0
FS79,237948.0
FS80,430190.0
FS82,197667.0
FS78,185583.0
FS81,183051.0
FS84,297287.0
FS86,208991.0
FS87,218208.0
FS89,198941.0
FS85,220699.0
FS88,290169.0
KS91,266394.0
KS46,808360.0
KS25,305668.0
KS26,299994.0
KS45,313400.0
KS24,334147.0
KS44,308149.0
KS47,755109.0
KS59,625081.0
KS48,345993.0
KS49,839342.0
KS52,403802.0
KS54,301239.0
KS53,310993.0
KS90,296458.0
KS23,303047.0
MS31,352869.0
MS22,276908.0
MS18,334827.0
MS19,397933.0
MS21,445587.0
MS17,419413.0
MS20,432121.0
MS23,253598.0
MS24,252753.0
MS29,556709.0
MS25,253831.0
MS26,248995.0
MS28,363936.0
MS27,150175.0
MS30,305665.0
MS01,367507.0
MS03,280078.0
MS02,296108.0
MS08,353798.0
MS05,283449.0
MS04,335533.0
MS07,267364.0
MS06,352905.0
MS09,282031.0
MS15,92825.0
MS11,405284.0
MS12,419251.0
MS14,230751.0
MS10,261382.0
MS13,199364.0
MS16,184387.0
NS64,439019.0
NS60,184154.0
NS61,197581.0
NS63,194104.0
NS62,204509.0
NS65,202216.0
NS71,243183.0
NS66,213785.0
NS67,299298.0
NS68,191231.0
NS70,191675.0
NS69,177380.0
NS72,168528.0
NS74,322014.0
NS73,480514.0
ZS99,
TS05,64237.0
TS07,214022.0
TS06,199748.0
TS04,176065.0
TS09,118824.0
TS08,131241.0
TS03,141916.0
TS14,140373.0
TS13,176573.0
TS11,205035.0
TS16,251670.0
TS10,129262.0
TS15,78137.0
TS12,158657.0
TS17,
TS18,143684.0
TS02,130066.0
TS01,170243.0
NA74,322014.0
NA65,202216.0
NA67,299298.0
NA64,439019.0
NA62,204509.0
NA61,197581.0
NA66,213785.0
NA63,194104.0
NA72,168528.0
NA71,243183.0
NA69,177380.0
NA68,191231.0
NA73,480514.0
NA70,191675.0
NA60,184154.0
MA05,331515.0
MA03,377085.0
MA02,288389.0
MA04,252690.0
MA01,301297.0
KA05,402024.0
KA01,316752.0
KA02,351864.0
KA04,285036.0
KA03,539869.0
FA05,192173.0
FA01,208656.0
FA02,213937.0
FA04,158871.0
