gebiedcode15,waarde
STAD,47.5
T,26.2
N,50.2
M,51.7
K,58.8
F,34.3
E,50.8
B,55.2
A,59.0
Z,
DX04,39.7
DX03,54.4
DX02,58.5
DX01,59.5
DX21,21.8
DX20,18.0
DX19,41.3
DX22,35.8
DX12,60.2
DX16,50.0
DX18,54.7
DX15,62.3
DX13,47.7
DX14,47.3
DX17,53.8
DX06,25.8
DX05,54.2
DX09,34.4
DX08,51.0
DX07,31.8
DX11,50.0
DX10,61.1
ZX99,55.2
E12,65.3
E13,51.2
E39,28.4
E38,52.9
E36,62.0
E37,41.0
E22,57.6
E20,63.0
E21,61.8
E18,55.5
E19,50.4
E16,57.1
E17,60.5
E15,55.0
E14,54.4
F11,24.8
F77,26.7
F76,23.6
F79,43.1
F78,23.4
F85,39.9
F86,26.7
F84,45.8
F83,32.6
F82,23.5
F81,37.6
F80,73.6
E43,60.2
E75,48.0
E42,47.2
E40,59.4
E41,39.0
B10,55.2
A09,57.1
A08,58.0
A07,61.0
A06,62.4
A05,60.0
A04,59.2
A02,58.9
A03,57.7
A00,54.5
A01,50.7
K23,35.1
F89,34.7
F88,56.3
F87,39.9
K49,60.4
K48,58.3
K47,61.5
K46,58.3
K45,60.7
K44,65.4
K26,48.6
K25,57.8
K24,58.4
M28,48.5
M27,58.3
M29,46.6
M33,60.1
M32,35.4
M31,37.9
M30,41.8
M50,
M51,47.2
M35,51.0
M34,53.8
K91,50.3
K90,52.3
K54,63.0
K59,58.0
K53,59.6
K52,68.8
N60,48.6
N61,41.8
N62,75.7
N68,30.9
N67,72.0
N66,58.6
N65,64.0
N64,79.4
N63,70.9
M57,62.8
M58,57.7
M56,66.2
M55,58.4
T92,42.6
T93,17.3
T95,50.1
T94,21.8
N74,55.8
N72,53.4
N73,85.4
N71,62.6
N70,38.8
N69,41.7
Z99,
T98,82.0
T97,36.9
T96,29.0
NS74,55.8
NS72,53.4
NS71,62.6
NS73,85.4
NS68,30.9
NS70,38.8
NS67,72.0
NS69,41.7
NS66,58.6
NS61,41.8
NS60,48.6
NS64,79.4
NS62,75.7
NS65,64.0
NS63,70.9
MS17,69.1
MS11,72.5
MS15,51.6
MS12,64.4
MS14,62.8
MS16,64.8
MS13,43.4
MS09,64.1
MS08,65.8
MS04,52.6
MS10,59.3
MS07,56.5
MS05,41.8
MS06,42.8
MS02,48.5
MS01,58.3
MS03,45.3
MS29,65.2
MS26,31.1
MS25,24.8
MS27,53.8
MS28,53.3
MS30,44.3
MS21,66.3
MS24,37.9
MS18,63.1
MS19,50.7
MS20,67.9
MS22,49.5
MS23,44.3
MS31,47.2
KS24,58.4
KS23,35.1
KS90,52.3
KS54,63.0
KS49,60.4
KS59,58.0
KS52,68.8
KS53,59.6
KS47,61.5
KS26,48.6
KS25,57.8
KS44,65.4
KS45,60.7
KS48,58.3
KS46,58.3
KS91,50.3
FS87,39.9
FS86,26.7
FS89,34.7
FS85,39.9
FS88,56.3
FS84,45.8
FS80,73.6
FS83,32.6
FS79,43.1
FS81,37.6
FS82,23.5
FS76,23.6
FS11,24.8
FS77,26.7
FS78,23.4
AS04,58.9
AS02,55.9
AS03,60.7
AS05,62.9
AS06,61.2
AS01,61.5
AS18,64.5
AS16,54.8
AS14,50.0
AS17,54.1
AS15,63.8
AS19,61.2
AS20,56.3
AS12,60.9
AS13,42.0
AS09,59.2
AS10,54.9
AS07,53.1
AS08,50.7
AS11,62.8
ES02,47.4
ES01,65.3
ES27,35.1
ES99,59.4
ES23,48.0
ES26,60.2
ES61,47.6
ES24,39.0
ES25,47.2
ES20,42.1
ES18,52.4
ES17,31.2
ES19,45.9
ES21,19.5
ES16,42.3
ES22,59.4
ES11,63.0
ES14,68.1
ES10,47.1
ES13,60.8
ES12,61.1
ES09,55.5
ES15,46.2
ES08,59.6
ES05,58.9
ES06,80.5
ES04,54.4
ES07,57.1
ES03,52.1
TS02,22.1
TS01,15.8
TS17,0.0
TS18,18.7
TS16,82.0
TS13,36.9
TS14,50.1
TS15,44.9
TS11,45.8
TS12,32.2
TS10,19.4
TS08,15.4
TS03,16.5
TS04,35.6
TS09,10.3
TS07,12.5
TS05,30.5
TS06,14.5
ZS99,55.2
EA02,58.2
EA03,39.7
EA04,50.5
EA01,54.4
AA12,52.7
AA04,57.0
AA02,61.1
AA03,59.6
AA11,62.6
FA09,56.3
FA08,45.8
FA10,24.8
FA07,27.8
FA06,37.6
FA05,26.0
FA01,37.1
FA03,23.6
FA04,26.7
FA02,31.8
KA05,42.4
KA04,51.5
KA02,65.3
KA01,55.9
KA03,61.1
MA01,47.7
MA04,36.8
MA05,50.0
MA03,60.1
MA02,62.3
NA60,48.6
NA72,53.4
NA69,41.7
NA73,85.4
NA70,38.8
NA71,62.6
NA74,55.8
NA68,30.9
NA62,75.7
NA64,79.4
NA66,58.6
NA61,41.8
NA67,72.0
NA63,70.9
NA65,64.0
ZA99,55.2
TA08,10.3
TA05,26.1
TA09,42.6
TA10,82.0
TA06,36.9
TA02,18.7
TA01,21.8
TA04,15.4
TA03,19.2
DY25,18.0
DY26,21.8
DY27,35.8
DY24,41.3
DY23,54.7
DY18,36.8
DY19,60.1
DY21,50.0
DY20,62.3
DY22,53.8
DY17,47.7
DY15,55.9
DY10,51.0
DY13,60.5
DY16,65.3
DY11,34.4
DY12,61.7
DY14,50.0
DY01,59.5
DY02,58.5
DY05,58.2
DY09,31.8
DY04,39.7
DY03,54.4
DY06,50.5
DY07,25.6
DY08,26.0
ZY99,55.2
E12a,63.9
E13a,47.4
E13e,51.7
E13c,56.7
E12b,66.1
E13b,48.2
E13d,59.8
E14a,55.1
E13g,
E13h,59.4
E13f,48.5
E14c,48.4
E14b,54.5
E14e,54.1
E14d,52.8
E14f,58.7
E15a,58.9
E15b,76.5
E15c,81.4
E16b,54.9
E15d,47.6
E16c,61.8
E16a,57.4
E17a,60.5
E19b,43.2
E18a,55.7
E19a,57.7
E18b,55.3
E19c,52.7
E21b,63.6
E20b,61.8
E20c,63.2
E20a,63.9
E21a,61.1
E36b,35.1
E36a,68.1
E22b,60.1
E22a,55.1
E37c,31.2
E37d,50.1
E37f,42.3
E37e,49.4
E37g,37.9
E37a,58.6
E39b,42.1
E38d,50.6
E39a,42.0
E39d,12.6
E39c,31.9
E38c,53.9
E75d,39.5
E43b,62.5
E43a,58.4
E75b,58.1
E75a,54.1
E75c,39.5
E41a,48.0
E41b,41.1
E40c,50.7
E40a,65.8
E40b,61.2
E42d,54.0
E42a,43.9
E42c,53.6
E41c,48.0
E41d,13.7
E42b,42.9
F11d,27.7
F11a,15.8
F11e,66.7
F11f,0.0
F11c,0.0
F11j,100.0
F76a,27.7
F11h,100.0
F77a,30.1
F76b,16.2
F77c,28.0
F77b,44.7
F77e,
F77f,23.8
F78a,22.9
F77d,12.0
F79b,42.9
F78b,30.6
F79a,58.1
F78d,22.3
F78e,38.3
F78c,20.1
F81a,28.2
F81b,40.2
F80b,72.9
F80c,89.6
F80a,57.1
F81d,41.6
F81c,30.4
F82b,22.5
F82a,21.2
F82c,21.9
F81e,51.4
F83a,32.5
F82d,26.1
F83b,38.3
F84a,46.9
F84b,47.0
F84c,44.2
F85b,48.9
F85c,21.2
F85a,56.1
F86a,20.8
A09i,65.3
A09f,55.6
A09h,61.8
A07h,62.9
A07g,65.2
A08a,59.0
A08b,52.5
A07f,65.1
A08d,61.2
A09e,53.2
A08e,65.3
A09a,69.0
A09b,60.6
A09c,52.6
A09d,48.9
B10c,66.7
B10e,0.0
B10b,27.3
B10a,61.9
B10d,75.0
B10g,85.7
B10f,55.8
B10h,30.8
A01h,51.6
A02a,62.4
A02c,58.3
A02b,56.5
A02d,57.6
A01e,48.7
A01b,52.7
A01c,41.1
A01f,53.7
A01g,59.1
A01d,49.8
A04a,50.3
A04b,66.8
A04d,65.3
A04e,62.6
A04c,47.2
A04f,55.6
A03c,62.9
A03f,39.7
A03a,53.6
A03b,59.6
A03e,43.7
A03d,64.9
A03g,56.0
A04h,62.5
A05c,58.4
A04g,57.9
A04i,58.2
A05a,55.9
A05b,64.5
A05g,61.5
A05d,62.7
A06a,64.1
A05f,52.1
A06c,62.0
A06d,60.1
A06l,63.8
A07a,56.0
A07d,61.3
A07e,60.6
A07b,43.2
A07c,54.0
A06i,62.5
A06e,53.9
A06k,67.3
A06h,61.5
A06j,59.4
A06g,61.4
A06f,57.2
A00e,60.4
A00b,54.2
A00d,57.2
A00a,53.7
A01a,0.0
A00c,52.2
N73i,43.8
N74a,87.2
N74b,45.4
N73j,75.0
N74c,55.4
N73h,89.6
N73g,89.0
N73f,87.3
N73d,87.6
N73c,83.3
N73e,100.0
N73b,79.7
N68f,33.0
N69c,51.2
N69a,65.6
N69j,54.3
N68e,22.2
N69k,32.5
N70d,38.1
N70b,47.8
N70c,32.0
N70a,32.0
N69m,58.2
N69l,25.8
N71e,50.0
N71g,72.5
N70e,73.5
N70f,47.4
N71f,46.4
N71c,72.2
N72a,49.7
N72c,85.7
N71h,68.1
N72b,50.0
N73a,80.5
T92a,0.0
T92c,14.7
T92b,4.9
T92d,56.4
T92f,29.3
T92e,50.0
T92g,50.6
T93a,18.5
T93j,12.5
T94b,15.0
T93k,
T94c,13.7
T93i,40.7
T94a,23.2
T93f,18.6
T93g,11.6
T93d,14.5
T93c,30.5
T93e,10.3
T93b,19.0
T93h,16.1
T94n,20.0
T95b,80.0
T94l,19.6
T94m,9.2
T95a,49.4
T94k,31.7
T94d,19.6
T94h,14.9
T94f,16.5
T94j,50.3
T94g,14.6
T94i,14.0
T94e,29.3
M58i,64.5
M58h,50.5
M58e,74.7
M58g,67.1
M58f,85.0
M58j,56.7
M51b,50.7
M55d,64.7
M51c,34.0
M55b,49.2
M51a,76.4
M55c,65.8
M55i,32.6
M55h,59.3
M56a,72.8
M55f,50.4
M55e,80.0
M55g,70.1
M57b,50.0
M57a,62.8
M58b,51.6
M57c,
M56i,40.0
M56h,43.5
M56c,71.4
M56b,74.2
M56e,100.0
M56f,60.7
M56g,
M56d,84.6
N60b,52.5
N60c,64.3
N60a,39.0
N61a,41.9
N61b,39.0
N61c,48.5
N62a,71.3
N61d,68.6
N62b,77.6
N63a,70.9
N64d,78.2
N64b,72.5
N64a,82.5
N64c,80.3
N65b,73.4
N65a,71.9
N65c,57.7
N64e,57.1
N65d,52.0
N66c,59.4
N66d,71.1
N66b,81.1
N66e,85.4
N66g,62.8
N66f,42.3
N67b,66.9
N68b,58.0
N67a,74.9
N68c,33.6
N68d,23.4
N68a,55.6
K91a,56.5
K90i,57.7
K91d,50.0
K90j,27.3
K91b,51.1
K91c,48.5
K49e,57.9
K52b,69.0
K49f,60.7
K49d,60.0
K52a,69.6
K49c,82.9
K52g,66.1
K52c,71.3
K53b,57.8
K52h,62.3
K52d,66.7
K53a,61.9
K54b,67.5
K54c,68.9
K54e,77.3
K54a,60.9
K54d,50.6
K90c,47.3
K90a,49.8
K90d,58.1
K59a,58.0
K59b,
K90e,69.6
M27c,25.5
M27b,59.3
M27a,65.6
M29b,46.6
M28b,63.4
M28c,53.7
M28a,49.9
M28d,39.8
M29a,44.1
M31b,43.5
M30a,41.7
M29c,52.6
M30b,41.8
M31a,45.4
M32d,71.4
M32a,36.2
M31c,24.8
M32c,59.0
M32b,31.1
M33i,82.5
M33h,50.1
M33k,73.2
M34c,46.4
M33j,66.7
M34a,84.0
M33g,45.4
M33a,45.0
M33c,69.1
M33d,63.1
M33b,54.0
M33f,66.3
M33e,67.9
M34g,
M34e,88.5
M35a,47.7
M34d,73.8
M34f,48.9
M35b,56.5
M35f,42.6
M50d,
M35e,47.5
M50g,
M35c,65.2
F86e,19.8
F86d,59.4
F86c,50.9
F87a,46.6
F86f,2.1
F86b,29.6
F87e,32.7
F88a,8.2
F87c,30.8
F87d,38.1
F87b,46.1
F87f,46.2
F89c,24.2
F89d,57.3
F89b,36.0
F88i,51.1
F89a,37.3
F88j,83.4
F88b,64.2
F88g,49.9
F88e,48.8
F88c,68.8
F88f,58.3
F88h,59.2
F88d,70.0
K23d,27.8
K23c,28.0
K23e,52.3
K24a,63.0
K23a,1.4
K23b,
K24b,54.1
K25b,58.4
K24c,57.4
K24d,56.0
K25a,58.2
K24e,59.4
K44e,66.2
K44c,63.9
K44a,69.2
K44b,67.9
K44d,63.7
K44f,39.5
K26c,51.1
K26b,49.7
K26a,45.7
K25c,53.7
K25d,59.7
K46a,56.2
K45a,64.7
K46d,
K46b,58.3
K45b,54.4
K46c,60.0
K47d,58.9
K47c,60.3
K47a,58.6
K47e,67.5
K47f,61.1
K47b,52.5
K47i,100.0
K47h,42.9
K47g,75.8
K47j,59.5
K48b,60.2
K48a,53.4
K48e,81.6
K49b,59.9
K48c,51.5
K48f,63.9
K48d,52.4
K49a,66.8
Z99z,
T98a,81.6
T98b,89.7
T95c,79.5
T96b,17.9
T96c,45.8
T96e,30.0
T96a,21.8
T96d,26.4
T96f,29.9
T96g,40.4
T97a,27.8
T97b,18.3
T97c,53.2
T97d,38.0
1011,59.2
1014,62.9
0000,
1016,59.9
1012,52.6
1015,62.7
1013,55.7
1052,56.2
1047,70.6
1046,27.7
1045,55.8
1044,
1053,54.9
1051,54.5
1042,58.8
1034,39.4
1037,85.4
1036,50.8
1035,61.4
1041,70.0
1043,11.4
1027,87.7
1033,65.0
1026,87.7
1028,88.3
1025,48.9
1031,44.6
1032,59.7
1018,57.4
1024,30.9
1017,59.6
1023,76.6
1022,54.0
1019,60.2
1021,40.3
1109,82.0
1105,53.2
1108,50.1
1106,31.5
1107,32.8
1103,23.1
1097,59.4
1104,20.5
1101,6.0
1102,17.3
1098,66.2
1096,57.6
1092,47.0
1087,48.9
1093,46.6
1094,37.9
1091,48.7
1095,38.6
1086,53.3
1083,50.5
1081,57.2
1078,66.2
1077,59.7
1079,64.3
1076,58.4
1082,46.0
1073,55.0
1074,55.0
1068,37.6
1071,61.5
1072,57.3
1075,58.7
1069,29.9
1067,28.2
1064,31.2
1065,34.4
1062,35.7
1063,24.4
1066,51.3
1061,21.9
1056,48.3
1054,61.8
1055,42.8
1058,62.3
1059,55.0
1060,44.1
1057,47.7
