gebiedcode15,waarde
STAD,5.1
A,1.0
B,1.0
E,5.4
F,12.9
K,1.5
M,4.2
N,6.4
T,1.1
Z,
DX07,13.1
DX09,9.4
DX06,19.2
DX08,7.2
DX11,1.6
DX10,1.2
DX05,4.1
DX12,1.8
DX16,3.4
DX15,1.5
DX13,5.4
DX18,3.4
DX14,6.0
DX17,6.7
DX21,1.1
DX20,1.8
DX22,0.7
DX19,8.9
DX02,1.1
DX03,2.0
DX04,11.4
DX01,0.9
ZX99,1.0
N69,7.0
N70,11.2
N71,1.1
N72,1.4
N73,0.5
N74,4.7
T94,1.1
T95,0.9
T93,1.8
T92,2.3
M55,2.0
M56,1.0
M57,1.7
M58,1.5
N63,1.6
N64,0.2
N65,3.2
N66,5.6
N67,2.0
N68,12.7
N62,1.0
N60,5.0
N61,4.5
K52,0.8
K53,2.4
K59,0.6
K54,1.5
K90,1.2
K91,2.1
M34,1.9
M35,3.0
M50,
M51,4.5
M31,7.7
M30,7.1
M33,2.3
M32,10.6
M29,6.6
M27,1.4
M28,4.8
K24,1.6
K25,2.0
K26,3.9
K44,1.1
K45,1.6
K46,1.0
K47,0.6
K48,2.2
K49,0.7
F87,6.0
F88,4.7
F89,8.5
K23,2.1
A01,0.9
A00,0.8
A03,1.2
A02,0.8
A04,0.9
A05,0.8
A06,0.9
A07,1.0
A08,0.8
A09,1.6
B10,1.0
E40,3.5
E41,7.8
E42,7.9
E43,3.2
E75,7.4
F81,10.3
F80,3.1
F82,16.1
F84,9.6
F83,14.1
F86,11.5
F85,11.2
F78,23.4
F79,14.5
F77,16.7
F76,18.3
F11,4.7
E14,2.0
E15,2.1
E17,1.1
E16,1.7
E18,3.3
E19,3.5
E20,1.0
E21,1.2
E37,10.1
E36,0.9
E22,0.9
E38,8.3
E39,16.4
E13,2.4
E12,0.8
T96,0.8
T97,0.5
T98,0.5
Z99,
ES05,0.9
ES07,1.7
ES06,0.0
ES04,2.0
ES03,2.6
ES08,1.2
ES14,0.2
ES09,3.3
ES10,4.5
ES11,1.0
ES13,0.8
ES12,1.5
ES15,6.9
ES21,20.7
ES17,17.7
ES18,6.7
ES20,8.9
ES16,6.6
ES22,3.5
ES19,10.3
ES99,0.0
ES61,3.8
ES23,7.4
ES24,7.8
ES25,7.9
ES27,4.1
ES26,3.2
ES02,1.5
ES01,0.8
AS07,0.7
AS11,1.0
AS12,1.0
AS13,1.8
AS08,0.9
AS10,1.2
AS09,1.1
AS14,0.9
AS17,1.9
AS15,0.5
AS18,1.0
AS16,1.3
AS20,1.1
AS19,0.1
AS01,0.7
AS06,1.2
AS03,0.7
AS05,0.8
AS04,0.8
AS02,1.3
FS77,16.7
FS78,23.4
FS11,4.7
FS76,18.3
FS83,14.1
FS82,16.1
FS80,3.1
FS79,14.5
FS84,9.6
FS81,10.3
FS86,11.5
FS87,6.0
FS89,8.5
FS88,4.7
FS85,11.2
KS48,2.2
KS45,1.6
KS44,1.1
KS26,3.9
KS46,1.0
KS25,2.0
KS47,0.6
KS59,0.6
KS49,0.7
KS54,1.5
KS52,0.8
KS91,2.1
KS90,1.2
KS53,2.4
KS24,1.6
KS23,2.1
MS31,4.5
MS23,5.7
MS19,3.2
MS18,1.9
MS24,9.6
MS22,3.8
MS20,1.5
MS21,1.0
MS29,1.5
MS25,11.9
MS28,2.7
MS26,12.3
MS27,1.9
MS30,3.7
MS03,7.4
MS01,1.4
MS02,4.8
MS06,3.5
MS08,3.6
MS05,7.1
MS04,3.2
MS07,1.2
MS10,1.8
MS09,2.5
MS13,1.1
MS16,1.4
MS14,1.7
MS15,0.9
MS12,2.1
MS17,1.6
MS11,0.8
NS64,0.2
NS66,5.6
NS62,1.0
NS63,1.6
NS61,4.5
NS60,5.0
NS65,3.2
NS72,1.4
NS69,7.0
NS70,11.2
NS73,0.5
NS67,2.0
NS71,1.1
NS68,12.7
NS74,4.7
ZS99,1.0
TS08,1.4
TS05,1.2
TS07,2.9
TS03,0.9
TS04,1.0
TS06,2.4
TS09,0.8
TS11,0.6
TS14,0.9
TS10,1.0
TS13,0.5
TS16,0.5
TS15,2.4
TS12,0.6
TS18,2.3
TS17,0.0
TS02,1.0
TS01,1.4
NA66,5.6
NA64,0.2
NA62,1.0
NA67,2.0
NA65,3.2
NA63,1.6
NA61,4.5
NA74,4.7
NA72,1.4
NA68,12.7
NA70,11.2
NA71,1.1
NA69,7.0
NA73,0.5
NA60,5.0
MA04,9.0
MA05,3.4
MA03,2.3
MA02,1.5
MA01,5.4
KA05,1.6
KA03,1.2
KA04,1.6
