gebiedcode15,waarde
STAD,17.3
A,25.7
B,31.3
E,18.7
F,13.8
K,23.3
M,16.7
N,11.7
T,10.4
Z,
DX08,14.2
DX11,26.3
DX05,20.2
DX09,16.8
DX10,25.2
DX07,13.0
DX06,11.5
DX16,15.7
DX15,18.1
DX14,16.1
DX13,16.8
DX12,20.5
DX18,12.8
DX17,10.5
DX22,10.4
DX20,11.0
DX19,12.1
DX21,9.9
DX02,24.6
DX04,14.3
DX01,26.7
DX03,20.0
ZX99,31.3
N69,13.2
N70,10.5
N71,17.7
N73,10.1
N72,32.2
N74,14.3
T94,9.9
T95,17.3
T93,10.7
T92,21.5
M55,17.0
M56,20.4
M57,12.1
M58,17.5
N63,9.8
N64,16.1
N66,11.2
N65,10.0
N67,10.9
N68,11.0
N62,10.6
N60,11.6
N61,13.3
K52,20.2
K53,20.1
K54,18.2
K59,31.2
K90,26.1
K91,25.6
M34,24.5
M35,14.8
M50,
M51,14.9
M30,14.2
M31,15.8
M32,12.3
M33,18.4
M29,15.3
M27,22.8
M28,17.3
K24,23.7
K25,21.2
K26,17.4
K44,21.3
K45,21.7
K46,30.9
K47,29.1
K48,19.8
K49,29.8
F87,20.6
F88,16.3
F89,15.1
K23,27.1
A01,33.8
A00,30.6
A03,29.8
A02,31.5
A04,26.8
A05,23.5
A06,24.4
A07,27.0
A08,25.3
A09,19.1
B10,31.3
E41,14.3
E40,20.7
E42,16.3
E75,16.1
E43,20.6
F80,13.3
F81,13.8
F82,11.9
F83,13.9
F84,12.2
F86,16.7
F85,14.9
F78,11.1
F79,14.1
F76,12.3
F77,10.7
F11,53.7
E14,20.7
E15,18.7
E16,21.7
E17,24.3
E19,20.0
E18,20.2
E21,24.9
E20,24.1
E36,21.0
E37,15.0
E22,27.9
E38,17.5
E39,10.7
E13,17.6
E12,24.6
T96,8.9
T97,11.1
T98,9.6
Z99,
ES07,21.7
ES06,11.5
ES04,20.7
ES03,16.9
ES08,24.7
ES05,18.8
ES14,21.5
ES10,17.5
ES11,24.1
ES13,25.9
ES09,20.2
ES12,25.2
ES15,14.8
ES21,9.1
ES17,14.6
ES18,18.2
ES20,10.4
ES22,20.7
ES16,14.6
ES19,15.7
ES61,19.1
ES25,16.3
ES27,18.6
ES23,16.1
ES26,20.6
ES24,14.3
ES99,28.1
ES02,20.3
ES01,24.6
AS07,31.3
AS10,29.2
AS11,26.3
AS09,28.0
AS08,33.8
AS13,36.4
AS12,28.5
AS16,29.1
AS14,26.7
AS17,18.4
AS15,24.9
AS20,24.7
AS18,21.0
AS19,27.2
AS01,24.9
AS04,31.5
AS06,25.2
AS02,20.7
AS03,23.7
AS05,24.0
FS77,10.7
FS76,12.3
FS11,53.7
FS78,11.1
FS81,13.8
FS83,13.9
FS82,11.9
FS80,13.3
FS79,14.1
FS84,12.2
FS86,16.7
FS87,20.6
FS89,15.1
FS85,14.9
FS88,16.3
KS45,21.7
KS26,17.4
KS25,21.2
KS44,21.3
KS48,19.8
KS47,29.1
KS46,30.9
KS53,20.1
KS54,18.2
KS52,20.2
KS49,29.8
KS59,31.2
KS90,26.1
KS23,27.1
KS24,23.7
KS91,25.6
MS31,14.9
MS21,15.7
MS19,21.6
MS18,19.7
MS24,12.5
MS22,18.0
MS20,17.7
MS23,18.2
MS26,12.0
MS29,14.8
MS27,24.5
MS25,10.8
MS28,13.4
MS30,15.6
MS02,17.3
MS01,22.8
MS03,15.5
MS08,19.3
MS10,15.3
MS06,23.8
MS07,20.5
MS05,14.2
MS04,14.6
MS09,13.0
MS14,12.1
MS12,15.2
MS16,17.6
MS11,17.1
MS15,10.1
MS13,36.8
MS17,17.1
NS66,11.2
NS60,11.6
NS63,9.8
NS64,16.1
NS62,10.6
NS65,10.0
NS61,13.3
NS69,13.2
NS70,10.5
NS73,10.1
NS67,10.9
NS68,11.0
NS72,32.2
NS71,17.7
NS74,14.3
ZS99,31.3
TS08,8.4
TS07,8.0
TS05,21.8
TS03,8.4
TS09,18.2
TS06,7.3
TS04,13.4
TS11,12.3
TS12,10.6
TS13,11.1
TS10,5.7
TS15,18.7
TS14,17.3
TS16,9.6
TS18,10.5
TS17,73.5
TS02,8.9
TS01,9.0
NA63,9.8
NA64,16.1
NA67,10.9
NA65,10.0
NA61,13.3
NA62,10.6
NA66,11.2
NA68,11.0
NA70,10.5
NA71,17.7
NA69,13.2
NA74,14.3
NA73,10.1
NA72,32.2
NA60,11.6
MA04,14.3
MA05,15.7
MA03,18.4
MA02,18.1
MA01,16.8
KA05,28.4
KA03,25.2
KA04,25.9
KA02,19.5
KA01,21.4
FA01,17.6
FA04,10.7
FA02,16.0
FA07,12.5
FA03,12.3
FA06,13.8
FA05,11.5
FA09,16.3
FA08,12.2
FA10,53.7
AA11,25.0
AA04,22.7
AA02,25.4
AA03,28.2
AA12,32.1
EA04,17.5
EA03,14.3
EA02,23.0
EA01,20.0
TA03,11.9
TA02,10.5
TA04,8.4
TA01,9.9
TA08,18.2
TA10,9.6
TA09,21.5
TA05,7.4
TA06,11.7
ZA99,31.3
DY08,11.5
DY04,14.3
DY05,23.0
DY07,11.5
DY03,20.0
DY09,13.0
DY06,17.5
DY01,26.7
DY02,24.6
DY10,14.2
DY15,21.4
DY16,19.5
DY11,16.8
DY12,20.7
DY14,26.3
DY13,29.7
DY18,14.3
DY17,16.8
DY19,18.4
DY21,15.7
DY23,12.8
DY22,10.5
DY20,18.1
DY25,11.0
DY26,9.9
DY24,12.1
DY27,10.4
ZY99,31.3
K48e,14.6
K48f,21.2
K48c,16.6
K49b,30.7
K48d,25.1
K49a,23.8
K48a,16.2
K47i,0.0
K48b,17.2
K47j,28.2
K47g,17.6
K47h,57.1
K47e,24.9
K47c,30.3
K47b,36.2
K47d,33.1
K47a,30.4
K47f,28.6
K46c,31.0
K45b,21.0
K45a,22.1
K46a,35.1
K46b,28.5
K46d,
K26c,17.2
K25d,21.7
K26b,17.4
K25c,21.7
K26a,17.5
K44b,19.3
K44c,22.2
K44a,20.6
K44e,22.0
