gebiedcode15,waarde
STAD,6.0
T,3.0
N,3.0
M,4.0
K,6.0
F,3.0
E,6.0
B,130.0
A,24.0
Z,
DX02,19.0
DX03,6.0
DX01,28.0
DX20,6.0
DX22,2.0
DX18,6.0
DX21,1.0
DX19,2.0
DX13,6.0
DX15,3.0
DX12,8.0
DX11,5.0
DX14,4.0
DX17,1.0
DX16,2.0
DX09,3.0
DX07,3.0
DX05,8.0
DX08,2.0
DX04,4.0
DX06,3.0
DX10,5.0
ZX99,130.0
E12,3.0
E13,6.0
E39,1.0
E38,6.0
E37,4.0
E22,19.0
E36,21.0
E21,8.0
E20,10.0
E19,6.0
E18,12.0
E17,14.0
E16,7.0
E15,4.0
E14,5.0
F11,195.0
F76,3.0
F77,3.0
F79,3.0
F78,1.0
F86,2.0
F85,3.0
F83,3.0
F84,2.0
F82,2.0
F81,3.0
F80,7.0
E75,6.0
E43,3.0
E42,6.0
E40,4.0
E41,5.0
B10,130.0
A09,4.0
A08,8.0
A07,36.0
A06,13.0
A05,12.0
A04,14.0
A03,55.0
A02,21.0
A00,86.0
A01,90.0
K23,18.0
F89,3.0
F88,2.0
F87,3.0
K49,3.0
K48,3.0
K47,8.0
K46,7.0
K45,9.0
K26,4.0
K44,5.0
K25,7.0
K24,16.0
M27,7.0
M28,6.0
M29,7.0
M32,3.0
M33,4.0
M30,4.0
M31,4.0
M51,2.0
M50,
M35,2.0
M34,4.0
K91,3.0
K59,4.0
K90,3.0
K54,4.0
K53,4.0
K52,5.0
N60,5.0
N61,5.0
N62,2.0
N68,1.0
N67,3.0
N66,2.0
N65,1.0
N64,5.0
N63,1.0
M58,5.0
M57,2.0
M56,2.0
M55,3.0
T92,96.0
T93,4.0
T95,4.0
T94,1.0
N74,1.0
N73,5.0
N72,106.0
N71,17.0
N70,1.0
N69,3.0
Z99,
T98,0.0
T97,1.0
T96,2.0
NS74,1.0
NS73,5.0
NS67,3.0
NS70,1.0
NS66,2.0
NS72,106.0
NS71,17.0
NS69,3.0
NS68,1.0
NS64,5.0
NS60,5.0
NS63,1.0
NS61,5.0
NS65,1.0
NS62,2.0
MS11,3.0
MS16,4.0
MS15,4.0
MS13,1.0
MS12,2.0
MS14,2.0
MS10,3.0
MS05,4.0
MS04,9.0
MS06,6.0
MS07,3.0
MS03,7.0
MS09,2.0
MS08,6.0
MS01,7.0
MS02,6.0
MS25,1.0
MS26,1.0
MS29,1.0
MS24,4.0
MS28,3.0
MS30,2.0
MS27,4.0
MS17,4.0
MS18,7.0
MS21,2.0
MS23,5.0
MS19,5.0
MS20,2.0
MS22,7.0
MS31,2.0
KS23,18.0
KS48,3.0
KS52,5.0
KS53,4.0
KS54,4.0
KS59,4.0
KS90,3.0
KS49,3.0
KS46,7.0
KS25,7.0
KS26,4.0
KS24,16.0
KS45,9.0
KS47,8.0
KS44,5.0
KS91,3.0
FS87,3.0
FS89,3.0
FS85,3.0
FS88,2.0
